sentence,metaphorical_subsets,model_output
"Outside of washing the windows, what else did you do?",['Outside of'],"""Outside of washing the windows, what else did you do?""

- Outside: YES (preposition, more basic meaning refers to the exterior of a place)
- of: NO (preposition, basic meaning is the same)
- washing: NO (verb, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- windows: NO (noun, basic meaning is the same)
- what: NO (pronoun, basic meaning is the same)
- else: NO (adverb, basic meaning is the same)
- did: NO (verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- do: NO (verb, basic meaning is the same)"
How much window-washing did you do?,['How much'],"- How: NO (adverb, basic meaning is the same)
- much: NO (adjective, basic meaning is the same)
- window-washing: YES (noun, more basic meaning refers to the physical act of cleaning windows)
- did: NO (verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- do: NO (verb, basic meaning is the same)"
How did you get into window-washing as a profession?,['get into'],"- How: NO (adverb, basic meaning is the same)
- did: NO (auxiliary verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- get: YES (verb, more basic meaning refers to obtaining or receiving something)
- into: NO (preposition, basic meaning is the same)
- window-washing: NO (noun, basic meaning is the same)
- as: NO (preposition, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- profession: YES (noun, more basic meaning refers to a paid occupation, especially one that involves prolonged training and a formal qualification)"
He's immersed in washing the windows right now.,['immersed in'],"- He's: NO (contraction of ""he is,"" basic meaning is the same)
- immersed: YES (verb, more basic meaning refers to submerging something in a liquid)
- in: NO (preposition, basic meaning is the same)
- washing: NO (verb, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- windows: NO (noun, basic meaning is the same)
- right: NO (adverb, basic meaning is the same)
- now: NO (adverb, basic meaning is the same)"
I put a lot of energy into washing the windows.,['put a lot of energy into'],"""I put a lot of energy into washing the windows.""

- I: NO (pronoun, basic meaning is the same)
- put: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- lot: YES (noun, more basic meaning refers to a piece of land or a large number of items)
- of: NO (preposition, basic meaning is the same)
- energy: YES (noun, more basic meaning refers to the physical property transferred to perform work)
- into: NO (preposition, basic meaning is the same)
- washing: NO (verb, basic meaning is the same)
- the: NO (article, basic meaning is the same)
- windows: NO (noun, basic meaning is the same)"
I get a lot of satisfaction out of washing windows.,['get a lot of satisfaction out of'],"""I get a lot of satisfaction out of washing windows.""

- I: NO (pronoun, basic meaning is the same)
- get: YES (verb, more basic meaning refers to obtaining or receiving something tangible)
- a: NO (article, basic meaning is the same)
- lot: YES (noun, more basic meaning refers to a large number or amount of something tangible)
- of: NO (preposition, basic meaning is the same)
- satisfaction: YES (noun, more basic meaning refers to the fulfillment of a need or desire, which can be more abstract)
- out: NO (preposition, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- washing: NO (verb, basic meaning is the same)
- windows: NO (noun, basic meaning is the same)"
There is a lot of satisfaction in washing windows.,['There is a lot of satisfaction in'],"""There is a lot of satisfaction in washing windows.""

- There: NO (pronoun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- lot: YES (noun, more basic meaning refers to a large number or amount of something tangible)
- of: NO (preposition, basic meaning is the same)
- satisfaction: YES (noun, more basic meaning refers to the fulfillment of a need or desire, which is more abstract here)
- in: NO (preposition, basic meaning is the same)
- washing: NO (verb, basic meaning is the same)
- windows: NO (noun, basic meaning is the same)"
He's in love.,['in'],"- He: NO (pronoun, basic meaning is the same)
- 's: NO (contraction of ""is"", basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- love: NO (noun, basic meaning is the same)"
We're out of trouble now.,['out of'],"""We're out of trouble now.""

- We: NO (pronoun, basic meaning is the same)
- 're (are): NO (verb, basic meaning is the same)
- out: YES (preposition, more basic meaning refers to being outside or away from a place)
- of: NO (preposition, basic meaning is the same)
- trouble: NO (noun, basic meaning is the same)
- now: NO (adverb, basic meaning is the same)"
He's coming out of the coma.,['coming out'],"- He’s: NO (contraction of ""he is"", basic meaning is the same)
- coming: NO (verb, basic meaning is the same)
- out: NO (preposition, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- coma: YES (noun, more basic meaning refers to a state of deep unconsciousness)"
I'm slowly getting into shape.,['slowly getting into'],"- I: NO (pronoun, basic meaning is the same)
- 'm (am): NO (verb, basic meaning is the same)
- slowly: NO (adverb, basic meaning is the same)
- getting: YES (verb, more basic meaning refers to obtaining or receiving something)
- into: NO (preposition, basic meaning is the same)
- shape: YES (noun, more basic meaning refers to the form or outline of an object)"
He entered a state of euphoria.,['entered'],"- He: NO (pronoun, basic meaning is the same)
- entered: YES (verb, more basic meaning refers to physically going into a place)
- a: NO (article, basic meaning is the same)
- state: YES (noun, more basic meaning refers to a political entity or condition of being)
- of: NO (preposition, basic meaning is the same)
- euphoria: NO (noun, basic meaning is the same)"
He fell into a depression.,['fell into'],"- He: NO (pronoun, basic meaning is the same)
- fell: NO (verb, basic meaning is the same)
- into: NO (preposition, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- depression: YES (noun, more basic meaning refers to a physical low area or a state of low mood)"
He finally emerged from the catatonic state he had been in since the end of finals week.,"['emerged from', 'in']","- He: NO (pronoun, basic meaning is the same)
- finally: NO (adverb, basic meaning is the same)
- emerged: YES (verb, more basic meaning refers to coming out of something physically)
- from: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- catatonic: YES (adjective, more basic meaning refers to a medical condition involving lack of movement)
- state: YES (noun, more basic meaning refers to a condition or mode of being, often physical or geographical)
- he: NO (pronoun, basic meaning is the same)
- had: NO (verb, basic meaning is the same)
- been: NO (verb, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- since: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- end: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- finals: YES (noun, more basic meaning refers to final exams)
- week: NO (noun, basic meaning is the same)"
His theory explained to me the behavior of chickens raised in factories.,['theory explained'],"- His: NO (possessive pronoun, basic meaning is the same)
- theory: YES (noun, more basic meaning refers to a supposition or a system of ideas intended to explain something, often more abstract)
- explained: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- me: NO (pronoun, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- behavior: YES (noun, more basic meaning refers to the way in which one acts or conducts oneself, often more concrete)
- of: NO (preposition, basic meaning is the same)
- chickens: NO (noun, basic meaning is the same)
- raised: YES (verb, more basic meaning refers to lifting or moving to a higher position, often more concrete)
- in: NO (preposition, basic meaning is the same)
- factories: NO (noun, basic meaning is the same)"
This fact argues against the standard theories.,['fact argues'],"""This fact argues against the standard theories.""

- This: NO (demonstrative pronoun, basic meaning is the same)
- fact: NO (noun, basic meaning is the same)
- argues: YES (verb, more basic meaning refers to making a case or reasoning in a discussion)
- against: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- standard: NO (adjective, basic meaning is the same)
- theories: NO (noun, basic meaning is the same)"
Life has cheated me.,['Life has cheated'],"""Life has cheated me.""
- Life: YES (noun, more basic meaning refers to the condition that distinguishes animals and plants from inorganic matter)
- has: NO (auxiliary verb, basic meaning is the same)
- cheated: YES (verb, more basic meaning refers to acting dishonestly or unfairly in order to gain an advantage, often in a game or examination)
- me: NO (pronoun, basic meaning is the same)"
Inflation is eating up our profits.,['Inflation is eating up'],"""Inflation is eating up our profits.""

- Inflation: YES (noun, more basic meaning refers to the act of inflating something, like a balloon)
- is: NO (verb, basic meaning is the same)
- eating: YES (verb, more basic meaning refers to the act of consuming food)
- up: NO (preposition, basic meaning is the same)
- our: NO (possessive pronoun, basic meaning is the same)
- profits: NO (noun, basic meaning is the same)"
His religion tells him that he cannot drink fine French wines.,['religion tells'],"- His: NO (possessive pronoun, basic meaning is the same)
- religion: NO (noun, basic meaning is the same)
- tells: YES (verb, more basic meaning refers to communicating information directly)
- him: NO (pronoun, basic meaning is the same)
- that: NO (conjunction, basic meaning is the same)
- he: NO (pronoun, basic meaning is the same)
- cannot: NO (modal verb, basic meaning is the same)
- drink: NO (verb, basic meaning is the same)
- fine: YES (adjective, more basic meaning refers to being of high quality or thin)
- French: NO (adjective, basic meaning is the same)
- wines: NO (noun, basic meaning is the same)"
The Michelson-Morley experiment gave birth to a new physical theory.,['Michelson-Morley experiment gave birth to'],"""The Michelson-Morley experiment gave birth to a new physical theory.""

- The: NO (definite article, basic meaning is the same)
- Michelson-Morley: NO (proper noun, basic meaning is the same)
- experiment: NO (noun, basic meaning is the same)
- gave: NO (verb, basic meaning is the same)
- birth: YES (noun, more basic meaning refers to the process of being born)
- to: NO (preposition, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- new: NO (adjective, basic meaning is the same)
- physical: NO (adjective, basic meaning is the same)
- theory: NO (noun, basic meaning is the same)"
Cancer finally caught up with him.,"['Cancer', 'caught up with']","""Cancer finally caught up with him.""

- Cancer: NO (noun, basic meaning is the same, referring to the disease)
- finally: NO (adverb, basic meaning is the same, indicating the end of a period of time)
- caught: YES (verb, more basic meaning refers to physically seizing or capturing something)
- up: NO (adverb, basic meaning is the same, indicating direction or position)
- with: NO (preposition, basic meaning is the same, indicating association or accompaniment)
- him: NO (pronoun, basic meaning is the same)"
Inflation has attacked the foundation of our economy.,['has attacked'],"""Inflation has attacked the foundation of our economy.""

- Inflation: YES (noun, more basic meaning refers to the act of inflating something, like a balloon)
- has: NO (verb, basic meaning is the same)
- attacked: YES (verb, more basic meaning refers to a physical assault)
- the: NO (definite article, basic meaning is the same)
- foundation: YES (noun, more basic meaning refers to the base of a physical structure)
- of: NO (preposition, basic meaning is the same)
- our: NO (possessive pronoun, basic meaning is the same)
- economy: YES (noun, more basic meaning refers to the management of resources, historically related to household management)"
Inflation has pinned us to the wall.,"['has pinned', 'to the wall']","Sure, let's analyze the text ""Inflation has pinned us to the wall.""

- Inflation: YES (In this context, it refers to the economic concept of rising prices, but a more basic meaning could be the act of inflating something, like a balloon.)
- has: NO (Auxiliary verb, basic meaning is the same)
- pinned: YES (In this context, it means to hold someone in a difficult situation, but a more basic meaning is to physically attach something with a pin.)
- us: NO (Pronoun, basic meaning is the same)
- to: NO (Preposition, basic meaning is the same)
- the: NO (Definite article, basic meaning is the same)
- wall: NO (Noun, basic meaning is the same)

So, the words ""Inflation"" and ""pinned"" have more basic contemporary meanings in other contexts."
Our biggest enemy right now is inflation.,"['enemy', 'is']","- Our: NO (possessive pronoun, basic meaning is the same)
- biggest: NO (adjective, basic meaning is the same)
- enemy: NO (noun, basic meaning is the same)
- right: NO (adverb, basic meaning is the same)
- now: NO (adverb, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- inflation: YES (noun, more basic meaning refers to the act of inflating something, like a balloon)"
The dollar has been destroyed by inflation.,['has been destroyed'],"""The dollar has been destroyed by inflation.""

- The: NO (definite article, basic meaning is the same)
- dollar: NO (noun, basic meaning is the same)
- has: NO (auxiliary verb, basic meaning is the same)
- been: NO (auxiliary verb, basic meaning is the same)
- destroyed: YES (verb, more basic meaning refers to causing physical destruction)
- by: NO (preposition, basic meaning is the same)
- inflation: NO (noun, basic meaning is the same)"
Inflation has robbed me of my savings.,['has robbed'],"""Inflation has robbed me of my savings.""
- Inflation: YES (noun, more basic meaning refers to the physical act of inflating something, like a balloon)
- has: NO (verb, basic meaning is the same)
- robbed: YES (verb, more basic meaning refers to the physical act of stealing from someone)
- me: NO (pronoun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- my: NO (possessive pronoun, basic meaning is the same)
- savings: NO (noun, basic meaning is the same)"
Inflation has outwitted the best economic minds in the country.,['has outwitted'],"""Inflation has outwitted the best economic minds in the country.""

- Inflation: YES (noun, more basic meaning refers to the physical act of inflating something, like a balloon)
- has: NO (verb, basic meaning is the same)
- outwitted: YES (verb, more basic meaning refers to outsmarting someone in a direct, often physical, contest)
- the: NO (definite article, basic meaning is the same)
- best: NO (adjective, basic meaning is the same)
- economic: NO (adjective, basic meaning is the same)
- minds: YES (noun, more basic meaning refers to the organ in the head responsible for thought)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- country: NO (noun, basic meaning is the same)"
Inflation has given birth to a money-minded generation.,['has given birth'],"""Inflation has given birth to a money-minded generation.""

- Inflation: YES (noun, more basic meaning refers to the process of increasing in volume or size, often related to air or gas)
- has: NO (verb, basic meaning is the same)
- given: YES (verb, more basic meaning refers to the act of transferring something to someone)
- birth: YES (noun, more basic meaning refers to the process of being born)
- to: NO (preposition, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- money-minded: YES (adjective, more basic meaning would refer to being concerned with or focused on money in a literal sense)
- generation: NO (noun, basic meaning is the same)"
The ham sandwich is waiting for his check.,['ham sandwich'],"- The: NO (definite article, basic meaning is the same)
- ham: YES (noun, more basic meaning refers to a type of meat)
- sandwich: YES (noun, more basic meaning refers to a food item made of bread and filling)
- is: NO (verb, basic meaning is the same)
- waiting: YES (verb, more basic meaning refers to the act of staying in one place until something happens)
- for: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- check: YES (noun, more basic meaning refers to a written order directing a bank to pay money)"
He likes to read the Marquis de Sade.,['Marquis de Sade'],"- He: NO (pronoun, basic meaning is the same)
- likes: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- read: NO (verb, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- Marquis: NO (noun, basic meaning is the same)
- de: NO (preposition, basic meaning is the same)
- Sade: NO (proper noun, basic meaning is the same)"
He's in dance.,['dance'],"- He’s: NO (contraction of ""he is,"" basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- dance: YES (noun, more basic meaning refers to the physical activity of moving rhythmically to music)"
Acrylic has taken over the art world.,['Acrylic'],"""Acrylic has taken over the art world.""
- Acrylic: NO (noun, basic meaning is the same, referring to a type of paint or material)
- has: NO (verb, basic meaning is the same, auxiliary verb)
- taken: YES (verb, more basic meaning refers to physically grabbing or seizing something)
- over: YES (preposition, more basic meaning refers to a physical position above something)
- the: NO (definite article, basic meaning is the same)
- art: NO (noun, basic meaning is the same, referring to creative works)
- world: YES (noun, more basic meaning refers to the Earth or the physical realm)"
The Times hasn't arrived at the press conference yet.,['Times'],"""The Times hasn't arrived at the press conference yet.""

- The: NO (definite article, basic meaning is the same)
- Times: YES (noun, more basic meaning refers to instances or periods of time)
- hasn't: NO (contraction of ""has not,"" basic meaning is the same)
- arrived: NO (verb, basic meaning is the same)
- at: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- press: YES (noun, more basic meaning refers to the act of pressing or a machine that presses)
- conference: NO (noun, basic meaning is the same)
- yet: NO (adverb, basic meaning is the same)"
Mrs. Grundy frowns on blue jeans.,['blue jeans'],"- Mrs.: NO (title, basic meaning is the same)
- Grundy: NO (proper noun, basic meaning is the same)
- frowns: YES (verb, more basic meaning refers to the facial expression of displeasure)
- on: NO (preposition, basic meaning is the same)
- blue: NO (adjective, basic meaning is the same)
- jeans: NO (noun, basic meaning is the same)"
New windshield wipers will satisfy him.,['New windshield wipers'],"- New: NO (adjective, basic meaning is the same)
- windshield: NO (noun, basic meaning is the same)
- wipers: NO (noun, basic meaning is the same)
- will: NO (auxiliary verb, basic meaning is the same)
- satisfy: YES (verb, more basic meaning refers to fulfilling a physical need or desire)
- him: NO (pronoun, basic meaning is the same)"
The automobile is clogging our highways.,['automobile'],"""The automobile is clogging our highways.""
- The: NO (definite article, basic meaning is the same)
- automobile: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- clogging: YES (verb, more basic meaning refers to blocking a drain or pipe)
- our: NO (possessive pronoun, basic meaning is the same)
- highways: NO (noun, basic meaning is the same)"
We need a couple of strong bodies for our team.,['strong bodies'],"""We need a couple of strong bodies for our team.""

- We: NO (pronoun, basic meaning is the same)
- need: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- couple: YES (noun, more basic meaning refers to two people in a romantic relationship)
- of: NO (preposition, basic meaning is the same)
- strong: NO (adjective, basic meaning is the same)
- bodies: YES (noun, more basic meaning refers to the physical structure of a person or an animal)
- for: NO (preposition, basic meaning is the same)
- our: NO (possessive pronoun, basic meaning is the same)
- team: NO (noun, basic meaning is the same)"
There are a lot of good heads in the university.,['good heads'],"- There: NO (adverb, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- lot: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- good: NO (adjective, basic meaning is the same)
- heads: YES (noun, more basic meaning refers to the physical part of the body)
- in: NO (preposition, basic meaning is the same)
- the: NO (article, basic meaning is the same)
- university: NO (noun, basic meaning is the same)"
I've got a new set of wheels.,['set of wheels'],"""I've got a new set of wheels.""
- I: NO (pronoun, basic meaning is the same)
- 've (contraction of ""have""): NO (verb, basic meaning is the same)
- got: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- new: NO (adjective, basic meaning is the same)
- set: YES (noun, more basic meaning refers to a collection of items or a group)
- of: NO (preposition, basic meaning is the same)
- wheels: YES (noun, more basic meaning refers to the circular objects that enable vehicles to move)"
We need some new blood in the organization.,['new blood'],"""We need some new blood in the organization.""
- We: NO (pronoun, basic meaning is the same)
- need: NO (verb, basic meaning is the same)
- some: NO (determiner, basic meaning is the same)
- new: NO (adjective, basic meaning is the same)
- blood: YES (noun, more basic meaning refers to the red liquid circulating in the bodies of humans and animals)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- organization: NO (noun, basic meaning is the same)"
She's just a pretty face.,['pretty face'],"- She’s: NO (contraction of ""she is,"" basic meaning is the same)
- just: YES (adverb, more basic meaning refers to fairness or exactness)
- a: NO (article, basic meaning is the same)
- pretty: YES (adjective, more basic meaning refers to physical attractiveness)
- face: YES (noun, more basic meaning refers to the front part of a person's head)"
There are an awful lot of faces out there in the audience.,['awful lot of faces'],"""There are an awful lot of faces out there in the audience.""

- There: NO (adverb, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- an: NO (article, basic meaning is the same)
- awful: YES (adjective, more basic meaning refers to something causing fear or dread)
- lot: YES (noun, more basic meaning refers to a portion of land or a group of items)
- of: NO (preposition, basic meaning is the same)
- faces: NO (noun, basic meaning is the same)
- out: NO (adverb, basic meaning is the same)
- there: NO (adverb, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- the: NO (article, basic meaning is the same)
- audience: NO (noun, basic meaning is the same)"
We need some new faces around here.,['new faces'],"- We: NO (pronoun, basic meaning is the same)
- need: NO (verb, basic meaning is the same)
- some: NO (determiner, basic meaning is the same)
- new: NO (adjective, basic meaning is the same)
- faces: YES (noun, more basic meaning refers to the front part of a person's head)
- around: NO (preposition, basic meaning is the same)
- here: NO (adverb, basic meaning is the same)"
Get your butt over here!,['your butt'],"- Get: NO (verb, basic meaning is the same)
- your: NO (possessive pronoun, basic meaning is the same)
- butt: YES (noun, more basic meaning refers to the part of the body)
- over: NO (preposition, basic meaning is the same)
- here: NO (adverb, basic meaning is the same)"
We don't hire longhairs.,['longhairs'],"- We: NO (pronoun, basic meaning is the same)
- don't: NO (contraction of ""do not,"" basic meaning is the same)
- hire: NO (verb, basic meaning is the same)
- longhairs: YES (noun, more basic meaning refers to people with long hair, whereas in this context it likely refers to a specific group or type of person, often with a cultural or subcultural connotation)"
The Giants need a stronger arm in right field.,['stronger arm'],"""The Giants need a stronger arm in right field.""

- The: NO (definite article, basic meaning is the same)
- Giants: NO (proper noun, basic meaning is the same)
- need: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- stronger: NO (adjective, basic meaning is the same)
- arm: YES (noun, more basic meaning refers to the limb of the human body)
- in: NO (preposition, basic meaning is the same)
- right: NO (adjective, basic meaning is the same)
- field: YES (noun, more basic meaning refers to an open land area)"
I've got a new four-on-the-floor V-8.,['four-on-the-floor'],"""I've got a new four-on-the-floor V-8.""

- I: NO (pronoun, basic meaning is the same)
- 've (contraction of ""have""): NO (verb, basic meaning is the same)
- got: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- new: NO (adjective, basic meaning is the same)
- four-on-the-floor: YES (phrase, more basic meaning refers to a type of manual transmission in a car)
- V-8: YES (noun, more basic meaning refers to an engine with eight cylinders arranged in a V configuration)"
I'll have a Löwenbräu.,['Löwenbräu'],"- I: NO (pronoun, basic meaning is the same)
- 'll: NO (contraction of ""will"", basic meaning is the same)
- have: YES (verb, more basic meaning refers to possessing or holding something)
- a: NO (indefinite article, basic meaning is the same)
- Löwenbräu: YES (noun, more basic meaning refers to a specific brand of beer, which is a concrete object)"
He bought a Ford.,['Ford'],"- He: NO (pronoun, basic meaning is the same)
- bought: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- Ford: YES (noun, more basic meaning refers to the founder of the automobile company or a type of car)"
He's got a Picasso in his den.,['Picasso'],"- He’s: NO (contraction of ""he is,"" basic meaning is the same)
- got: YES (verb, more basic meaning refers to obtaining or possessing something)
- a: NO (indefinite article, basic meaning is the same)
- Picasso: YES (noun, more basic meaning refers to the artist Pablo Picasso, rather than a work of art by him)
- in: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- den: YES (noun, more basic meaning refers to a wild animal's lair or a small, comfortable room in a house)"
I hate to read Heidegger.,['Heidegger'],"- I: NO (pronoun, basic meaning is the same)
- hate: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- read: NO (verb, basic meaning is the same)
- Heidegger: YES (proper noun, more basic meaning refers to the person Martin Heidegger, a German philosopher, rather than his works)"
The sax has the flu today.,['sax'],"""The sax has the flu today.""

- The: NO (definite article, basic meaning is the same)
- sax: YES (noun, more basic meaning refers to a saxophone, a musical instrument)
- has: NO (verb, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- flu: NO (noun, basic meaning is the same)
- today: NO (adverb, basic meaning is the same)"
The BLT is a lousy tipper.,['BLT'],"- The: NO (definite article, basic meaning is the same)
- BLT: YES (noun, more basic meaning refers to a bacon, lettuce, and tomato sandwich)
- is: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- lousy: YES (adjective, more basic meaning refers to being infested with lice or being of very poor quality)
- tipper: YES (noun, more basic meaning refers to someone who gives a gratuity or a device that tips something over)"
The gun he hired wanted fifty grand.,['gun'],"- The: NO (definite article, basic meaning is the same)
- gun: YES (noun, more basic meaning refers to a firearm)
- he: NO (pronoun, basic meaning is the same)
- hired: YES (verb, more basic meaning refers to employing someone for a job)
- wanted: NO (verb, basic meaning is the same)
- fifty: NO (numeral, basic meaning is the same)
- grand: YES (noun, more basic meaning refers to something large or magnificent, rather than a thousand dollars)"
We need a better glove at third base.,['glove'],"""We need a better glove at third base.""

- We: NO (pronoun, basic meaning is the same)
- need: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- better: NO (adjective, basic meaning is the same)
- glove: YES (noun, more basic meaning refers to a piece of clothing worn on the hand)
- at: NO (preposition, basic meaning is the same)
- third: YES (adjective, more basic meaning refers to the ordinal number three)
- base: YES (noun, more basic meaning refers to the bottom or foundation of something)"
The buses are on strike.,['buses'],"- The: NO (definite article, basic meaning is the same)
- buses: NO (noun, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- on: NO (preposition, basic meaning is the same)
- strike: YES (noun, more basic meaning refers to hitting something)"
Nixon bombed Hanoi.,['Nixon'],"- Nixon: NO (proper noun, basic meaning is the same)
- bombed: YES (verb, more basic meaning refers to dropping bombs on a target)
- Hanoi: NO (proper noun, basic meaning is the same)"
Ozawa gave a terrible concert last night.,['Ozawa'],"- Ozawa: NO (proper noun, basic meaning is the same)
- gave: YES (verb, more basic meaning refers to physically handing something over)
- a: NO (article, basic meaning is the same)
- terrible: NO (adjective, basic meaning is the same)
- concert: NO (noun, basic meaning is the same)
- last: NO (adjective, basic meaning is the same)
- night: NO (noun, basic meaning is the same)"
Napoleon lost at Waterloo.,['Napoleon'],"- Napoleon: NO (proper noun, basic meaning is the same)
- lost: YES (verb, more basic meaning refers to failing to win or misplacing something)
- at: NO (preposition, basic meaning is the same)
- Waterloo: NO (proper noun, basic meaning is the same)"
Casey Stengel won a lot of pennants.,['Casey Stengel'],"Sure, let's analyze the sentence ""Casey Stengel won a lot of pennants.""

- Casey: NO (proper noun, basic meaning is the same)
- Stengel: NO (proper noun, basic meaning is the same)
- won: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- lot: YES (noun, more basic meaning refers to a large number or amount of something tangible)
- of: NO (preposition, basic meaning is the same)
- pennants: YES (noun, more basic meaning refers to a type of flag or banner)

So, the words ""lot"" and ""pennants"" have more basic contemporary meanings in other contexts."
A Mercedes rear-ended me.,['me'],"- A: NO (article, basic meaning is the same)
- Mercedes: YES (noun, more basic meaning refers to the car brand or the car itself)
- rear-ended: YES (verb, more basic meaning refers to the physical action of hitting the rear of a vehicle)
- me: NO (pronoun, basic meaning is the same)"
Exxon has raised its prices again.,['Exxon'],"""Exxon has raised its prices again.""
- Exxon: NO (proper noun, basic meaning is the same)
- has: NO (auxiliary verb, basic meaning is the same)
- raised: YES (verb, more basic meaning refers to lifting something up physically)
- its: NO (possessive pronoun, basic meaning is the same)
- prices: NO (noun, basic meaning is the same)
- again: NO (adverb, basic meaning is the same)"
You'll never get the university to agree to that.,['university'],"""You'll never get the university to agree to that.""

- You: NO (pronoun, basic meaning is the same)
- 'll (contraction of will): NO (verb, basic meaning is the same)
- never: NO (adverb, basic meaning is the same)
- get: YES (verb, more basic meaning refers to obtaining or receiving something)
- the: NO (definite article, basic meaning is the same)
- university: YES (noun, more basic meaning refers to the physical institution or campus)
- to: NO (preposition, basic meaning is the same)
- agree: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- that: NO (pronoun, basic meaning is the same)"
The Army wants to reinstitute the draft.,['Army'],"""The Army wants to reinstitute the draft.""

- The: NO (definite article, basic meaning is the same)
- Army: NO (noun, basic meaning is the same)
- wants: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- reinstitute: YES (verb, more basic meaning refers to establishing something again, often in a more concrete sense)
- the: NO (definite article, basic meaning is the same)
- draft: YES (noun, more basic meaning refers to a preliminary version of a written work or a current of air)"
The Senate thinks abortion is immoral.,['Senate'],"- The: NO (definite article, basic meaning is the same)
- Senate: NO (noun, basic meaning is the same)
- thinks: YES (verb, more basic meaning refers to the mental process of considering or reasoning)
- abortion: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- immoral: NO (adjective, basic meaning is the same)"
I don't approve of the government's actions.,"[""government's""]","""I don't approve of the government's actions.""

- I: NO (pronoun, basic meaning is the same)
- don't: NO (contraction of ""do not,"" basic meaning is the same)
- approve: YES (verb, more basic meaning refers to officially agreeing or accepting something)
- of: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- government's: NO (possessive noun, basic meaning is the same)
- actions: YES (noun, more basic meaning refers to physical acts or deeds)"
The White House isn't saying anything.,['White House'],"""The White House isn't saying anything.""
- The: NO (definite article, basic meaning is the same)
- White: YES (adjective, more basic meaning refers to the color)
- House: YES (noun, more basic meaning refers to a building where people live)
- isn't: NO (contraction of ""is not,"" basic meaning is the same)
- saying: YES (verb, more basic meaning refers to the act of speaking)
- anything: NO (pronoun, basic meaning is the same)"
