metaphor_category,sentence,metaphorical_subsets,model_output,L&J Metaphor(s) – Identified,L&J Metaphor(s) – Correct Basic Meanings,Additional Annotations,Additional Annotations – Metaphorical,Additional Annotations – Correct Basic Meanings
emotional-effect-is-physical-contact,His mother's death hit him hard.,"['hit', 'hard']","- His: NO (possessive pronoun, basic meaning is the same)
- mother's: NO (noun, basic meaning is the same)
- death: NO (noun, basic meaning is the same)
- hit: YES (verb, more basic meaning refers to a physical strike)
- him: NO (pronoun, basic meaning is the same)
- hard: YES (adjective, more basic meaning refers to a physical property of being solid or firm)",1,1,0,,
personification,Inflation has outwitted the best economic minds in the country.,['has outwitted'],"""Inflation has outwitted the best economic minds in the country.""

- Inflation: YES (noun, more basic meaning refers to the physical act of inflating something, like a balloon)
- has: NO (verb, basic meaning is the same)
- outwitted: YES (verb, more basic meaning refers to outsmarting someone in a direct, often physical, contest)
- the: NO (definite article, basic meaning is the same)
- best: NO (adjective, basic meaning is the same)
- economic: NO (adjective, basic meaning is the same)
- minds: YES (noun, more basic meaning refers to the organ in the head responsible for thought)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- country: NO (noun, basic meaning is the same)",1,0,1,1.0,1.0
ideas-are-commodities,I wouldn't give a plugged nickel for that idea.,['give a plugged nickel'],"""I wouldn't give a plugged nickel for that idea.""

- I: NO (pronoun, basic meaning is the same)
- wouldn't: NO (contraction of ""would not,"" basic meaning is the same)
- give: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- plugged: YES (adjective, more basic meaning refers to something physically blocked or filled)
- nickel: NO (noun, basic meaning is the same, referring to a coin)
- for: NO (preposition, basic meaning is the same)
- that: NO (demonstrative pronoun, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)",0,0,1,1.0,1.0
personification,The Michelson-Morley experiment gave birth to a new physical theory.,['Michelson-Morley experiment gave birth to'],"""The Michelson-Morley experiment gave birth to a new physical theory.""

- The: NO (definite article, basic meaning is the same)
- Michelson-Morley: NO (proper noun, basic meaning is the same)
- experiment: NO (noun, basic meaning is the same)
- gave: NO (verb, basic meaning is the same)
- birth: YES (noun, more basic meaning refers to the process of being born)
- to: NO (preposition, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- new: NO (adjective, basic meaning is the same)
- physical: NO (adjective, basic meaning is the same)
- theory: NO (noun, basic meaning is the same)",1,1,0,,
inflation-is-an-entity,Inflation makes me sick.,['Inflation makes me sick'],"- Inflation: YES (noun, more basic meaning refers to the physical act of inflating something, like a balloon)
- makes: NO (verb, basic meaning is the same)
- me: NO (pronoun, basic meaning is the same)
- sick: NO (adjective, basic meaning is the same)",1,1,0,,
love-is-madness,I'm crazy about her.,['crazy'],"Sure, let's analyze the text ""I'm crazy about her.""

- I: NO (pronoun, basic meaning is the same)
- 'm (am): NO (verb, basic meaning is the same)
- crazy: YES (adjective, more basic meaning refers to a state of mental instability)
- about: NO (preposition, basic meaning is the same)
- her: NO (pronoun, basic meaning is the same)

So, the word ""crazy"" has a more basic contemporary meaning in other contexts.",1,1,0,,
life-is-a-container,Get the most out of life.,['Get the most out of'],"""Get the most out of life.""
- Get: NO (verb, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- most: YES (adjective, more basic meaning refers to the greatest in amount or degree)
- out: NO (preposition, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- life: YES (noun, more basic meaning refers to the condition that distinguishes animals and plants from inorganic matter)",0,0,1,0.0,1.0
virtue-is-up;-depravity-is-down,She has high standards.,['high'],"- She: NO (pronoun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- high: YES (adjective, more basic meaning refers to physical height)
- standards: YES (noun, more basic meaning refers to a level of quality or attainment, often in a more concrete sense like measurements or flags)",1,1,1,0.0,1.0
love-is-a-patient,"They have a strong, healthy marriage.","['strong, healthy']","""They have a strong, healthy marriage.""

- They: NO (pronoun, basic meaning is the same)
- have: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- strong: YES (adjective, more basic meaning refers to physical strength)
- healthy: YES (adjective, more basic meaning refers to physical health)
- marriage: NO (noun, basic meaning is the same)",1,1,1,,
health-and-life-are-up;-sickness-and-death-are-down,He came down with the flu.,['down'],"- He: NO (pronoun, basic meaning is the same)
- came: NO (verb, basic meaning is the same)
- down: YES (adverb, more basic meaning refers to a direction towards a lower place)
- with: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- flu: NO (noun, basic meaning is the same)",1,1,0,,
the-place-for-the-event,Pearl Harbor still has an effect on our foreign policy.,['Pearl Harbor'],"Sure, let's analyze the text ""Pearl Harbor still has an effect on our foreign policy.""

- Pearl: NO (proper noun, basic meaning is the same)
- Harbor: NO (proper noun, basic meaning is the same)
- still: NO (adverb, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- an: NO (article, basic meaning is the same)
- effect: YES (noun, more basic meaning refers to a change that is a result or consequence of an action or other cause, which is more concrete)
- on: NO (preposition, basic meaning is the same)
- our: NO (possessive pronoun, basic meaning is the same)
- foreign: NO (adjective, basic meaning is the same)
- policy: NO (noun, basic meaning is the same)

So, the word ""effect"" is the only one in this context that has a more basic contemporary meaning in other contexts.",0,0,1,0.0,1.0
high-status-is-up;-low-status-is-down,He has a little upward mobility.,['upward'],"- He: NO (pronoun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- little: NO (adjective, basic meaning is the same)
- upward: YES (adjective, more basic meaning refers to a direction towards a higher place)
- mobility: YES (noun, more basic meaning refers to the ability to move physically)",1,1,1,1.0,1.0
identifying-causes,He did it out of anger.,['anger'],"- He: NO (pronoun, basic meaning is the same)
- did: NO (verb, basic meaning is the same)
- it: NO (pronoun, basic meaning is the same)
- out: YES (preposition, more basic meaning refers to physical movement from inside to outside)
- of: NO (preposition, basic meaning is the same)
- anger: NO (noun, basic meaning is the same)",0,0,1,1.0,1.0
life-is-a-gambling-game,That's my ace in the hole.,['ace in the hole'],"""That's my ace in the hole.""
- That’s: NO (contraction of ""that is,"" basic meaning is the same)
- my: NO (possessive pronoun, basic meaning is the same)
- ace: YES (noun, more basic meaning refers to a playing card or a person who excels at something)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- hole: YES (noun, more basic meaning refers to an opening or hollow place)",1,1,0,,
setting-goals-and-motivating-actions,I'm changing my way of life so that I can find true happiness.,['find true happiness'],"Sure, let's analyze the text:

""I'm changing my way of life so that I can find true happiness.""

- I: NO (pronoun, basic meaning is the same)
- 'm (am): NO (verb, basic meaning is the same)
- changing: YES (verb, more basic meaning refers to making something different in a physical or tangible way)
- my: NO (possessive pronoun, basic meaning is the same)
- way: YES (noun, more basic meaning refers to a physical path or route)
- of: NO (preposition, basic meaning is the same)
- life: YES (noun, more basic meaning refers to the state of being alive)
- so: NO (conjunction, basic meaning is the same)
- that: NO (conjunction, basic meaning is the same)
- I: NO (pronoun, basic meaning is the same)
- can: NO (verb, basic meaning is the same)
- find: NO (verb, basic meaning is the same)
- true: YES (adjective, more basic meaning refers to being in accordance with fact or reality)
- happiness: YES (noun, more basic meaning refers to a state of feeling pleasure or contentment)

So, the words with a more basic contemporary meaning in other contexts are: changing, way, life, true, and happiness.",0,0,1,0.0,0.0
identifying-causes,The pressure of his responsibilities caused his breakdown.,['pressure of his responsibilities'],"""The pressure of his responsibilities caused his breakdown.""

- The: NO (definite article, basic meaning is the same)
- pressure: YES (noun, more basic meaning refers to physical force exerted on an object)
- of: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- responsibilities: YES (noun, more basic meaning refers to specific duties or tasks one is required to do)
- caused: NO (verb, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- breakdown: YES (noun, more basic meaning refers to a mechanical failure or collapse)",1,0,1,1.0,1.0
love-is-war,He enlisted the aid of her friends.,['enlisted the aid'],"- He: NO (pronoun, basic meaning is the same)
- enlisted: YES (verb, more basic meaning refers to enrolling in the military)
- the: NO (definite article, basic meaning is the same)
- aid: YES (noun, more basic meaning refers to help or assistance in a physical sense)
- of: NO (preposition, basic meaning is the same)
- her: NO (possessive pronoun, basic meaning is the same)
- friends: NO (noun, basic meaning is the same)",1,1,1,0.0,1.0
activities-are-containers,"Outside of washing the windows, what else did you do?",['Outside of'],"""Outside of washing the windows, what else did you do?""

- Outside: YES (preposition, more basic meaning refers to the exterior of a place)
- of: NO (preposition, basic meaning is the same)
- washing: NO (verb, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- windows: NO (noun, basic meaning is the same)
- what: NO (pronoun, basic meaning is the same)
- else: NO (adverb, basic meaning is the same)
- did: NO (verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- do: NO (verb, basic meaning is the same)",1,1,0,,
life-is-a-container,Live your life to the fullest.,['to the fullest'],"""Live your life to the fullest.""
- Live: YES (verb, more basic meaning refers to being alive or residing somewhere)
- your: NO (possessive pronoun, basic meaning is the same)
- life: NO (noun, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- fullest: YES (adjective, more basic meaning refers to being filled to capacity)",1,1,1,1.0,1.0
life-is-a-gambling-game,He's bluffing.,['bluffing'],"- He: NO (pronoun, basic meaning is the same)
- 's: NO (contraction of ""is"", basic meaning is the same)
- bluffing: YES (verb, more basic meaning refers to a steep cliff or a form of deception in card games)",1,1,0,,
ideas-are-fashions,That's an outdated idea.,['outdated'],"""That's an outdated idea.""
- That: NO (pronoun, basic meaning is the same)
- 's: NO (contraction of ""is"", basic meaning is the same)
- an: NO (indefinite article, basic meaning is the same)
- outdated: YES (adjective, more basic meaning refers to something being old or no longer in use)
- idea: NO (noun, basic meaning is the same)",1,0,0,,
the-mind-is-a-brittle-object,He broke under cross-examination.,['broke'],"- He: NO (pronoun, basic meaning is the same)
- broke: YES (verb, more basic meaning refers to physically breaking something)
- under: NO (preposition, basic meaning is the same)
- cross-examination: YES (noun, more basic meaning refers to the act of questioning a witness in a legal context, but the term itself is specialized and not as basic as the individual words ""cross"" and ""examination"")",1,1,1,1.0,1.0
love-is-war,He made an ally of her mother.,['made an ally'],"- He: NO (pronoun, basic meaning is the same)
- made: YES (verb, more basic meaning refers to creating or constructing something)
- an: NO (article, basic meaning is the same)
- ally: YES (noun, more basic meaning refers to a person or group that cooperates with or helps another in a particular activity)
- of: NO (preposition, basic meaning is the same)
- her: NO (possessive pronoun, basic meaning is the same)
- mother: NO (noun, basic meaning is the same)",1,0,1,1.0,1.0
ideas-are-plants,It will take years for that idea to come to full flower.,['come to full flower'],"""It will take years for that idea to come to full flower.""

- It: NO (pronoun, basic meaning is the same)
- will: NO (auxiliary verb, basic meaning is the same)
- take: NO (verb, basic meaning is the same)
- years: NO (noun, basic meaning is the same)
- for: NO (preposition, basic meaning is the same)
- that: NO (demonstrative pronoun, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- come: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- full: NO (adjective, basic meaning is the same)
- flower: YES (noun, more basic meaning refers to the reproductive structure in flowering plants)",1,1,0,,
happy-is-up;-sad-is-down,That boosted my spirits.,['boosted'],"- That: NO (demonstrative pronoun, basic meaning is the same)
- boosted: YES (verb, more basic meaning refers to physically lifting or increasing something)
- my: NO (possessive pronoun, basic meaning is the same)
- spirits: YES (noun, more basic meaning refers to supernatural beings or alcohol)",1,1,1,1.0,1.0
wealth-is-a-hidden-object,He's flaunting his new-found wealth.,['new-found'],"- He’s: NO (contraction of ""he is,"" basic meaning is the same)
- flaunting: YES (verb, more basic meaning refers to showing off something in a very obvious way)
- his: NO (possessive pronoun, basic meaning is the same)
- new-found: NO (adjective, basic meaning is the same)
- wealth: NO (noun, basic meaning is the same)",0,0,1,0.0,1.0
having-control-or-force-is-up;-being-subject-to-control-or-force-is-down,He fell from power.,['fell'],"- He: NO (pronoun, basic meaning is the same)
- fell: YES (verb, more basic meaning refers to physically dropping or descending)
- from: NO (preposition, basic meaning is the same)
- power: YES (noun, more basic meaning refers to physical strength or energy)",1,1,1,1.0,1.0
happy-is-up;-sad-is-down,I'm depressed.,['depressed'],"- I: NO (pronoun, basic meaning is the same)
- 'm: NO (contraction of ""am"", basic meaning is the same)
- depressed: YES (adjective, more basic meaning refers to a physical state of being pressed down or a lower position)",1,1,0,,
love-is-a-patient,This is a sick relationship.,['sick'],"""This is a sick relationship.""
- This: NO (pronoun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- sick: YES (adjective, more basic meaning refers to being physically ill)
- relationship: NO (noun, basic meaning is the same)",1,1,0,,
the-place-for-the-event,Remember the Alamo.,['the Alamo'],"- Remember: YES (verb, more basic meaning refers to recalling information or an event)
- the: NO (definite article, basic meaning is the same)
- Alamo: NO (proper noun, basic meaning is the same)",0,0,1,0.0,1.0
visual-fields-are-containers,There's nothing in sight.,['nothing in'],"- There's: NO (contraction of ""there is,"" basic meaning is the same)
- nothing: NO (pronoun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- sight: YES (noun, more basic meaning refers to the act of seeing or something that is seen)",0,0,1,0.0,1.0
states-as-containers,He finally emerged from the catatonic state he had been in since the end of finals week.,"['emerged from', 'in']","- He: NO (pronoun, basic meaning is the same)
- finally: NO (adverb, basic meaning is the same)
- emerged: YES (verb, more basic meaning refers to coming out of something physically)
- from: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- catatonic: YES (adjective, more basic meaning refers to a medical condition involving lack of movement)
- state: YES (noun, more basic meaning refers to a condition or mode of being, often physical or geographical)
- he: NO (pronoun, basic meaning is the same)
- had: NO (verb, basic meaning is the same)
- been: NO (verb, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- since: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- end: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- finals: YES (noun, more basic meaning refers to final exams)
- week: NO (noun, basic meaning is the same)",0,0,1,0.0,1.0
an-argument-is-a-container,Your argument won't hold water.,"[""won't hold water""]","""Your argument won't hold water.""
- Your: NO (possessive pronoun, basic meaning is the same)
- argument: NO (noun, basic meaning is the same)
- won't: NO (contraction of ""will not,"" basic meaning is the same)
- hold: YES (verb, more basic meaning refers to physically grasping or containing something)
- water: YES (noun, more basic meaning refers to the liquid substance)",1,1,0,,
the-part-for-the-whole,There are a lot of good heads in the university.,['good heads'],"- There: NO (adverb, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- lot: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- good: NO (adjective, basic meaning is the same)
- heads: YES (noun, more basic meaning refers to the physical part of the body)
- in: NO (preposition, basic meaning is the same)
- the: NO (article, basic meaning is the same)
- university: NO (noun, basic meaning is the same)",1,1,0,,
visual-fields-are-containers,That's in the center of my field of vision.,"['in', 'center', 'field']","- That's: NO (contraction of ""that is,"" basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- center: YES (noun, more basic meaning refers to the middle point of a physical space)
- of: NO (preposition, basic meaning is the same)
- my: NO (possessive pronoun, basic meaning is the same)
- field: YES (noun, more basic meaning refers to an open area of land)
- of: NO (preposition, basic meaning is the same)
- vision: NO (noun, basic meaning is the same)",0,0,1,,
love-is-a-journey,Our marriage is on the rocks.,['on the rocks'],"- Our: NO (possessive pronoun, basic meaning is the same)
- marriage: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- on: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- rocks: YES (noun, more basic meaning refers to solid mineral material)",1,1,0,,
personification,This fact argues against the standard theories.,['fact argues'],"""This fact argues against the standard theories.""

- This: NO (demonstrative pronoun, basic meaning is the same)
- fact: NO (noun, basic meaning is the same)
- argues: YES (verb, more basic meaning refers to making a case or reasoning in a discussion)
- against: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- standard: NO (adjective, basic meaning is the same)
- theories: NO (noun, basic meaning is the same)",1,0,0,,
life-is-a-gambling-game,I think we should stand pat.,['stand pat'],"""I think we should stand pat.""
- I: NO (pronoun, basic meaning is the same)
- think: NO (verb, basic meaning is the same)
- we: NO (pronoun, basic meaning is the same)
- should: NO (modal verb, basic meaning is the same)
- stand: YES (verb, more basic meaning refers to being in an upright position on one's feet)
- pat: YES (adjective, more basic meaning refers to a light touch or tap)",1,1,0,,
activities-are-containers,How did you get into window-washing as a profession?,['get into'],"- How: NO (adverb, basic meaning is the same)
- did: NO (auxiliary verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- get: YES (verb, more basic meaning refers to obtaining or receiving something)
- into: NO (preposition, basic meaning is the same)
- window-washing: NO (noun, basic meaning is the same)
- as: NO (preposition, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- profession: YES (noun, more basic meaning refers to a paid occupation, especially one that involves prolonged training and a formal qualification)",0,0,1,0.0,1.0
argument-is-war,I've never won an argument with him.,['won'],"""I've never won an argument with him.""
- I: NO (pronoun, basic meaning is the same)
- 've: NO (contraction of ""have"", basic meaning is the same)
- never: NO (adverb, basic meaning is the same)
- won: YES (verb, more basic meaning refers to achieving victory in a contest or competition)
- an: NO (indefinite article, basic meaning is the same)
- argument: NO (noun, basic meaning is the same)
- with: NO (preposition, basic meaning is the same)
- him: NO (pronoun, basic meaning is the same)",1,1,0,,
object-used-for-user,The sax has the flu today.,['sax'],"""The sax has the flu today.""

- The: NO (definite article, basic meaning is the same)
- sax: YES (noun, more basic meaning refers to a saxophone, a musical instrument)
- has: NO (verb, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- flu: NO (noun, basic meaning is the same)
- today: NO (adverb, basic meaning is the same)",1,1,0,,
