sentence,metaphorical_subsets,model_output
I couldn't do much sprinting until the end.,['much sprinting'],"- I: NO (pronoun, basic meaning is the same)
- couldn't: NO (verb, basic meaning is the same)
- do: NO (verb, basic meaning is the same)
- much: NO (adverb, basic meaning is the same)
- sprinting: YES (verb, more basic meaning refers to running at full speed)
- until: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- end: NO (noun, basic meaning is the same)"
"Halfway into the race, I ran out of energy.",['Halfway into'],"- Halfway: NO (adverb, basic meaning is the same)
- into: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- race: NO (noun, basic meaning is the same)
- I: NO (pronoun, basic meaning is the same)
- ran: NO (verb, basic meaning is the same)
- out of: NO (preposition, basic meaning is the same)
- energy: NO (noun, basic meaning is the same)"
He's out of the race now.,['out'],"- He's: NO (pronoun, basic meaning is the same)
- out: YES (adverb, more basic meaning refers to being outside or not inside)
- of: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- race: NO (noun, basic meaning is the same)"
"In washing the window, I splashed water all over the floor.",['In'],"- In: NO (preposition, basic meaning is the same)
- washing: YES (verb, more basic meaning refers to cleaning clothes or other items)
- the: NO (definite article, basic meaning is the same)
- window: NO (noun, basic meaning is the same)
- I: NO (pronoun, basic meaning is the same)
- splashed: YES (verb, more basic meaning refers to scattering or spattering a liquid)
- water: NO (noun, basic meaning is the same)
- all: NO (adverb, basic meaning is the same)
- over: NO (preposition, basic meaning is the same)
- floor: NO (noun, basic meaning is the same)"
How did Jerry get out of washing the windows?,['get out of'],"- How: NO (adverb, basic meaning is the same)
- did: NO (verb, basic meaning is the same)
- Jerry: NO (proper noun, basic meaning is the same)
- get: YES (verb, more basic meaning refers to obtaining or acquiring something)
- out of: NO (phrasal verb, basic meaning is the same)
- washing: YES (verb, more basic meaning refers to cleaning something with water)
- the: NO (definite article, basic meaning is the same)
- windows: YES (noun, more basic meaning refers to the glass openings in a building)"
"Outside of washing the windows, what else did you do?",['Outside of'],"- Outside: NO (adverb, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- washing: YES (verb, more basic meaning refers to cleaning something with water)
- the: NO (definite article, basic meaning is the same)
- windows: YES (noun, more basic meaning refers to a transparent opening in a wall to let light in)"
How much window-washing did you do?,['How much'],"- How: NO (adverb, basic meaning is the same)
- much: NO (determiner, basic meaning is the same)
- window-washing: YES (noun, more basic meaning refers to the action of cleaning windows)
- did: NO (verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- do: NO (verb, basic meaning is the same)"
How did you get into window-washing as a profession?,['get into'],"- How: NO (adverb, basic meaning is the same)
- did: NO (verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- get: YES (verb, more basic meaning refers to obtaining or acquiring something)
- into: NO (preposition, basic meaning is the same)
- window-washing: YES (noun, more basic meaning refers to the act of cleaning windows)
- as: NO (preposition, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- profession: NO (noun, basic meaning is the same)"
He's immersed in washing the windows right now.,['immersed in'],"- He's: NO (pronoun, basic meaning is the same)
- immersed: YES (verb, more basic meaning refers to being submerged in liquid)
- in: NO (preposition, basic meaning is the same)
- washing: YES (verb, more basic meaning refers to cleaning something with water)
- the: NO (definite article, basic meaning is the same)
- windows: NO (noun, basic meaning is the same)"
I put a lot of energy into washing the windows.,['put a lot of energy into'],"- I: NO (pronoun, basic meaning is the same)
- put: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- lot: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- energy: NO (noun, basic meaning is the same)
- into: NO (preposition, basic meaning is the same)
- washing: YES (verb, more basic meaning refers to cleaning clothes)
- the: NO (article, basic meaning is the same)
- windows: NO (noun, basic meaning is the same)"
I get a lot of satisfaction out of washing windows.,['get a lot of satisfaction out of'],"- I: NO (pronoun, basic meaning is the same)
- get: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- lot: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- satisfaction: NO (noun, basic meaning is the same)
- out: NO (adverb, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- washing: YES (verb, more basic meaning refers to cleaning with water)
- windows: NO (noun, basic meaning is the same)"
There is a lot of satisfaction in washing windows.,['There is a lot of satisfaction in'],"- There: NO (adverb, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- lot: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- satisfaction: NO (noun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- washing: YES (verb, more basic meaning refers to cleaning something with water)
- windows: NO (noun, basic meaning is the same)"
He's in love.,['in'],"- He's: NO (contraction of ""he is,"" basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- love: NO (noun, basic meaning is the same)"
We're out of trouble now.,['out of'],"- We're: NO (contraction of ""we are,"" basic meaning is the same)
- out: NO (adverb, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- trouble: NO (noun, basic meaning is the same)"
He's coming out of the coma.,['coming out'],"- He's: NO (pronoun, basic meaning is the same)
- coming: NO (verb, basic meaning is the same)
- out: NO (adverb, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- coma: NO (noun, basic meaning is the same)"
I'm slowly getting into shape.,['slowly getting into'],"- I'm: NO (contraction of ""I am,"" basic meaning is the same)
- slowly: NO (adverb, basic meaning is the same)
- getting: NO (verb, basic meaning is the same)
- into: NO (preposition, basic meaning is the same)
- shape: NO (noun, basic meaning is the same)"
He entered a state of euphoria.,['entered'],"- He: NO (pronoun, basic meaning is the same)
- entered: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- state: YES (noun, more basic meaning refers to a physical condition or situation)
- of: NO (preposition, basic meaning is the same)
- euphoria: YES (noun, more basic meaning refers to a feeling of intense happiness or excitement)"
He fell into a depression.,['fell into'],"- He: NO (pronoun, basic meaning is the same)
- fell: NO (verb, basic meaning is the same)
- into: NO (preposition, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- depression: YES (noun, more basic meaning refers to a sunken place or hollow)"
He finally emerged from the catatonic state he had been in since the end of finals week.,"['emerged from', 'in']","- He: NO (pronoun, basic meaning is the same)
- finally: NO (adverb, basic meaning is the same)
- emerged: YES (verb, more basic meaning refers to coming out or appearing)
- from: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- catatonic: YES (adjective, more basic meaning refers to a state of immobility or stupor)
- state: NO (noun, basic meaning is the same)
- he: NO (pronoun, basic meaning is the same)
- had: NO (verb, basic meaning is the same)
- been: NO (verb, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- since: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- end: YES (noun, more basic meaning refers to the final part of something)
- of: NO (preposition, basic meaning is the same)
- finals: YES (noun, more basic meaning refers to the last exams in a series)
- week: YES (noun, more basic meaning refers to a period of seven days)"
His theory explained to me the behavior of chickens raised in factories.,['theory explained'],"- His: NO (possessive pronoun, basic meaning is the same)
- theory: NO (noun, basic meaning is the same)
- explained: YES (verb, more basic meaning refers to making something clear or understandable)
- to: NO (preposition, basic meaning is the same)
- me: NO (pronoun, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- behavior: YES (noun, more basic meaning refers to the way in which a person or animal acts)
- of: NO (preposition, basic meaning is the same)
- chickens: YES (noun, more basic meaning refers to a type of bird)
- raised: YES (verb, more basic meaning refers to lifting something to a higher position)
- in: NO (preposition, basic meaning is the same)
- factories: YES (noun, more basic meaning refers to buildings where goods are manufactured)"
This fact argues against the standard theories.,['fact argues'],"- This: NO (demonstrative pronoun, basic meaning is the same)
- fact: NO (noun, basic meaning is the same)
- argues: YES (verb, more basic meaning refers to presenting reasons or evidence in support of something)
- against: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- standard: YES (adjective, more basic meaning refers to something used as a basis of comparison)
- theories: NO (noun, basic meaning is the same)"
Life has cheated me.,['Life has cheated'],"- Life: NO (noun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- cheated: YES (verb, more basic meaning refers to deceiving or defrauding)
- me: NO (pronoun, basic meaning is the same)"
Inflation is eating up our profits.,['Inflation is eating up'],"- Inflation: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- eating: YES (verb, more basic meaning refers to consuming food)
- up: NO (adverb, basic meaning is the same)
- our: NO (possessive pronoun, basic meaning is the same)
- profits: NO (noun, basic meaning is the same)"
His religion tells him that he cannot drink fine French wines.,['religion tells'],"- His: NO (possessive pronoun, basic meaning is the same)
- religion: NO (noun, basic meaning is the same)
- tells: YES (verb, more basic meaning refers to conveying information verbally)
- him: NO (pronoun, basic meaning is the same)
- that: NO (conjunction, basic meaning is the same)
- he: NO (pronoun, basic meaning is the same)
- cannot: NO (verb, basic meaning is the same)
- drink: YES (verb, more basic meaning refers to consuming liquids)
- fine: YES (adjective, more basic meaning refers to high quality)
- French: YES (adjective, more basic meaning refers to something from France)
- wines: YES (noun, more basic meaning refers to alcoholic beverages made from fermented grapes)"
The Michelson-Morley experiment gave birth to a new physical theory.,['Michelson-Morley experiment gave birth to'],"- The: NO (definite article, basic meaning is the same)
- Michelson-Morley: NO (proper noun, basic meaning is the same)
- experiment: NO (noun, basic meaning is the same)
- gave: NO (verb, basic meaning is the same)
- birth: YES (noun, more basic meaning refers to the act of giving birth to a baby)
- to: NO (preposition, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- new: NO (adjective, basic meaning is the same)
- physical: NO (adjective, basic meaning is the same)
- theory: NO (noun, basic meaning is the same)"
Cancer finally caught up with him.,"['Cancer', 'caught up with']","- Cancer: NO (noun, basic meaning is the same)
- finally: NO (adverb, basic meaning is the same)
- caught up with: YES (phrasal verb, more basic meaning refers to reaching the same level or position as someone or something) 
- him: NO (pronoun, basic meaning is the same)"
Inflation has attacked the foundation of our economy.,['has attacked'],"- Inflation: NO (noun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- attacked: YES (verb, more basic meaning refers to physical assault)
- the: NO (definite article, basic meaning is the same)
- foundation: YES (noun, more basic meaning refers to the base or support of a structure)
- of: NO (preposition, basic meaning is the same)
- our: NO (possessive pronoun, basic meaning is the same)
- economy: NO (noun, basic meaning is the same)"
Inflation has pinned us to the wall.,"['has pinned', 'to the wall']","- Inflation: NO (noun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- pinned: YES (verb, more basic meaning refers to physically attaching something with a pin)
- us: NO (pronoun, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- the: NO (article, basic meaning is the same)
- wall: YES (noun, more basic meaning refers to a physical structure)"
Our biggest enemy right now is inflation.,"['enemy', 'is']","- Our: NO (possessive pronoun, basic meaning is the same)
- biggest: NO (adjective, basic meaning is the same)
- enemy: NO (noun, basic meaning is the same)
- right: NO (adjective, basic meaning is the same)
- now: NO (adverb, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- inflation: NO (noun, basic meaning is the same)"
The dollar has been destroyed by inflation.,['has been destroyed'],"- The: NO (article, basic meaning is the same)
- dollar: NO (noun, basic meaning is the same)
- has been destroyed: YES (verb phrase, more basic meaning refers to physical destruction)
- by: NO (preposition, basic meaning is the same)
- inflation: NO (noun, basic meaning is the same)"
Inflation has robbed me of my savings.,['has robbed'],"- Inflation: NO (noun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- robbed: YES (verb, more basic meaning refers to stealing from a person or place)
- me: NO (pronoun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- my: NO (possessive pronoun, basic meaning is the same)
- savings: NO (noun, basic meaning is the same)"
Inflation has outwitted the best economic minds in the country.,['has outwitted'],"- Inflation: NO (noun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- outwitted: YES (verb, more basic meaning refers to defeating someone in a clever way)
- the: NO (article, basic meaning is the same)
- best: NO (adjective, basic meaning is the same)
- economic: NO (adjective, basic meaning is the same)
- minds: NO (noun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- country: NO (noun, basic meaning is the same)"
Inflation has given birth to a money-minded generation.,['has given birth'],"- Inflation: NO (noun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- given: NO (verb, basic meaning is the same)
- birth: YES (noun, more basic meaning refers to the act of giving life to a baby)
- to: NO (preposition, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- money-minded: YES (adjective, more basic meaning refers to being focused on money)
- generation: NO (noun, basic meaning is the same)"
The ham sandwich is waiting for his check.,['ham sandwich'],"- The: NO (definite article, basic meaning is the same)
- ham: NO (noun, basic meaning is the same)
- sandwich: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- waiting: YES (verb, more basic meaning refers to staying in one place in expectation of something)
- for: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- check: YES (noun, more basic meaning refers to a written order directing a bank to pay money)"
He likes to read the Marquis de Sade.,['Marquis de Sade'],"- He: NO (pronoun, basic meaning is the same)
- likes: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- read: YES (verb, more basic meaning refers to interpreting written or printed material)
- the: NO (definite article, basic meaning is the same)
- Marquis: NO (noun, basic meaning is the same)
- de: NO (preposition, basic meaning is the same)
- Sade: NO (noun, basic meaning is the same)"
He's in dance.,['dance'],"- He's: NO (pronoun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- dance: YES (noun, more basic meaning refers to a social gathering for dancing)"
Acrylic has taken over the art world.,['Acrylic'],"- Acrylic: NO (noun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- taken: YES (verb, more basic meaning refers to physically moving something)
- over: YES (preposition, more basic meaning refers to physical position or movement)
- the: NO (article, basic meaning is the same)
- art: NO (noun, basic meaning is the same)
- world: NO (noun, basic meaning is the same)"
The Times hasn't arrived at the press conference yet.,['Times'],"- The: NO (definite article, basic meaning is the same)
- Times: NO (noun, basic meaning is the same)
- hasn't: NO (contraction of ""has not,"" basic meaning is the same)
- arrived: YES (verb, more basic meaning refers to reaching a destination)
- at: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- press: YES (noun, more basic meaning refers to applying pressure)
- conference: NO (noun, basic meaning is the same)"
Mrs. Grundy frowns on blue jeans.,['blue jeans'],"- Mrs.: NO (noun, basic meaning is the same)
- Grundy: NO (noun, specific reference, basic meaning is the same)
- frowns: YES (verb, more basic meaning refers to a facial expression indicating disapproval)
- on: NO (preposition, basic meaning is the same)
- blue: NO (adjective, basic meaning is the same)
- jeans: NO (noun, basic meaning is the same)"
New windshield wipers will satisfy him.,['New windshield wipers'],"- New: NO (adjective, basic meaning is the same)
- windshield: NO (noun, basic meaning is the same)
- wipers: NO (noun, basic meaning is the same)
- will: NO (modal verb, basic meaning is the same)
- satisfy: YES (verb, more basic meaning refers to fulfilling a need or desire)
- him: NO (pronoun, basic meaning is the same)"
The automobile is clogging our highways.,['automobile'],"- The: NO (definite article, basic meaning is the same)
- automobile: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- clogging: YES (verb, more basic meaning refers to blocking a drain or pipe)
- our: NO (possessive pronoun, basic meaning is the same)
- highways: NO (noun, basic meaning is the same)"
We need a couple of strong bodies for our team.,['strong bodies'],"- We: NO (pronoun, basic meaning is the same)
- need: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- couple: YES (noun, more basic meaning refers to two people or things)
- of: NO (preposition, basic meaning is the same)
- strong: NO (adjective, basic meaning is the same)
- bodies: YES (noun, more basic meaning refers to physical structures or corpses)
- for: NO (preposition, basic meaning is the same)
- our: NO (possessive pronoun, basic meaning is the same)
- team: NO (noun, basic meaning is the same)"
There are a lot of good heads in the university.,['good heads'],"- There: NO (adverb, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- lot: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- good: NO (adjective, basic meaning is the same)
- heads: YES (noun, more basic meaning refers to the physical body part) 
- in: NO (preposition, basic meaning is the same)
- the: NO (article, basic meaning is the same)
- university: NO (noun, basic meaning is the same)"
I've got a new set of wheels.,['set of wheels'],"- I've: NO (contraction, basic meaning is the same)
- got: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- new: NO (adjective, basic meaning is the same)
- set: YES (noun, more basic meaning refers to a group of objects)
- of: NO (preposition, basic meaning is the same)
- wheels: YES (noun, more basic meaning refers to a circular object that rotates)"
We need some new blood in the organization.,['new blood'],"- We: NO (pronoun, basic meaning is the same)
- need: NO (verb, basic meaning is the same)
- some: NO (determiner, basic meaning is the same)
- new: NO (adjective, basic meaning is the same)
- blood: YES (noun, more basic meaning refers to the red liquid that circulates in the arteries and veins of humans and other vertebrate animals)"
She's just a pretty face.,['pretty face'],"- She's: NO (pronoun, basic meaning is the same)
- just: NO (adverb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- pretty: YES (adjective, more basic meaning refers to physical attractiveness)
- face: YES (noun, more basic meaning refers to the front part of the head)"
There are an awful lot of faces out there in the audience.,['awful lot of faces'],"- There: NO (adverb, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- an: NO (article, basic meaning is the same)
- awful: YES (adjective, more basic meaning refers to inspiring fear or dread)
- lot: YES (noun, more basic meaning refers to a piece of land)
- of: NO (preposition, basic meaning is the same)
- faces: YES (noun, more basic meaning refers to the front part of a person's head)
- out: NO (adverb, basic meaning is the same)
- there: NO (adverb, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- the: NO (article, basic meaning is the same)
- audience: YES (noun, more basic meaning refers to a formal meeting or assembly)"
We need some new faces around here.,['new faces'],"- We: NO (pronoun, basic meaning is the same)
- need: NO (verb, basic meaning is the same)
- some: NO (determiner, basic meaning is the same)
- new: NO (adjective, basic meaning is the same)
- faces: YES (noun, more basic meaning refers to the front part of the head)"
Get your butt over here!,['your butt'],"- Get: NO (verb, basic meaning is the same)
- your: NO (possessive pronoun, basic meaning is the same)
- butt: YES (noun, more basic meaning refers to the buttocks)
- over: NO (preposition, basic meaning is the same)
- here: NO (adverb, basic meaning is the same)"
We don't hire longhairs.,['longhairs'],"- We: NO (pronoun, basic meaning is the same)
- don't: NO (contraction, basic meaning is the same)
- hire: NO (verb, basic meaning is the same)
- longhairs: YES (noun, more basic meaning refers to a person with long hair)"
The Giants need a stronger arm in right field.,['stronger arm'],"- The: NO (article, basic meaning is the same)
- Giants: NO (noun, basic meaning is the same)
- need: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- stronger: YES (adjective, more basic meaning refers to physical strength)
- arm: YES (noun, more basic meaning refers to the body part)
- in: NO (preposition, basic meaning is the same)
- right: YES (adjective, more basic meaning refers to direction)
- field: YES (noun, more basic meaning refers to an area of land)"
I've got a new four-on-the-floor V-8.,['four-on-the-floor'],"- I've: NO (contraction of ""I have,"" basic meaning is the same)
- got: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- new: NO (adjective, basic meaning is the same)
- four-on-the-floor: YES (adjective phrase, more basic meaning refers to a manual transmission in a car)
- V-8: YES (noun, more basic meaning refers to a type of engine)"
I'll have a Löwenbräu.,['Löwenbräu'],"- I'll: NO (contraction of ""I will,"" basic meaning is the same)
- have: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- Löwenbräu: NO (noun, basic meaning is the same)"
He bought a Ford.,['Ford'],"- He: NO (pronoun, basic meaning is the same)
- bought: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- Ford: NO (noun, basic meaning is the same)"
He's got a Picasso in his den.,['Picasso'],"- He's: NO (contraction of ""he is,"" basic meaning is the same)
- got: YES (verb, more basic meaning refers to possessing or obtaining)
- a: NO (indefinite article, basic meaning is the same)
- Picasso: NO (noun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- den: YES (noun, more basic meaning refers to a wild animal's lair)"
I hate to read Heidegger.,['Heidegger'],"- I: NO
- hate: NO
- to: NO
- read: YES (verb, more basic meaning refers to interpreting written or printed material)
- Heidegger: NO"
The sax has the flu today.,['sax'],"- The: NO (article, basic meaning is the same)
- sax: YES (noun, more basic meaning refers to a musical instrument)
- has: NO (verb, basic meaning is the same)
- the: NO (article, basic meaning is the same)
- flu: YES (noun, more basic meaning refers to a viral infection)"
The BLT is a lousy tipper.,['BLT'],"- The: NO (article, basic meaning is the same)
- BLT: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- lousy: YES (adjective, more basic meaning refers to something of poor quality)
- tipper: YES (noun, more basic meaning refers to someone who gives tips)"
The gun he hired wanted fifty grand.,['gun'],"- The: NO (article, basic meaning is the same)
- gun: YES (noun, more basic meaning refers to a weapon)
- he: NO (pronoun, basic meaning is the same)
- hired: YES (verb, more basic meaning refers to employing someone for work)
- wanted: YES (verb, more basic meaning refers to desiring something)
- fifty: NO (numeral, basic meaning is the same)
- grand: YES (adjective, more basic meaning refers to large or impressive)"
We need a better glove at third base.,['glove'],"- We: NO (pronoun, basic meaning is the same)
- need: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- better: NO (adjective, basic meaning is the same)
- glove: YES (noun, more basic meaning refers to a protective covering for the hand)
- at: NO (preposition, basic meaning is the same)
- third: NO (adjective, basic meaning is the same)
- base: YES (noun, more basic meaning refers to the bottom support of something)"
The buses are on strike.,['buses'],"- The: NO (definite article, basic meaning is the same)
- buses: NO (noun, basic meaning is the same)
- are: NO (verb ""to be,"" basic meaning is the same)
- on: NO (preposition, basic meaning is the same)
- strike: YES (noun, more basic meaning refers to a physical attack)"
Nixon bombed Hanoi.,['Nixon'],"- Nixon: NO (proper noun, basic meaning is the same)
- bombed: YES (verb, more basic meaning refers to attacking with bombs)
- Hanoi: NO (proper noun, basic meaning is the same)"
Ozawa gave a terrible concert last night.,['Ozawa'],"- Ozawa: NO (proper noun, basic meaning is the same)
- gave: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- terrible: YES (adjective, more basic meaning refers to something causing terror or extreme fear)
- concert: NO (noun, basic meaning is the same)"
Napoleon lost at Waterloo.,['Napoleon'],"- Napoleon: NO (proper noun, basic meaning is the same)
- lost: NO (verb, basic meaning is the same)
- at: NO (preposition, basic meaning is the same)
- Waterloo: NO (proper noun, basic meaning is the same)"
Casey Stengel won a lot of pennants.,['Casey Stengel'],"- Casey: NO (proper noun, basic meaning is the same)
- Stengel: NO (proper noun, basic meaning is the same)
- won: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- lot: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- pennants: NO (noun, basic meaning is the same)"
A Mercedes rear-ended me.,['me'],"- A: NO (article, basic meaning is the same)
- Mercedes: NO (noun, basic meaning is the same)
- rear-ended: YES (verb, more basic meaning refers to the back part of something)
- me: NO (pronoun, basic meaning is the same)"
Exxon has raised its prices again.,['Exxon'],"- Exxon: NO (proper noun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- raised: YES (verb, more basic meaning refers to lifting something up)
- its: NO (possessive pronoun, basic meaning is the same)
- prices: NO (noun, basic meaning is the same)"
You'll never get the university to agree to that.,['university'],"- You'll: NO (contraction, basic meaning is the same)
- never: NO (adverb, basic meaning is the same)
- get: YES (verb, more basic meaning refers to obtaining or acquiring)
- the: NO (definite article, basic meaning is the same)
- university: NO (noun, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- agree: YES (verb, more basic meaning refers to having the same opinion)
- that: NO (pronoun, basic meaning is the same)"
The Army wants to reinstitute the draft.,['Army'],"- The: NO (definite article, basic meaning is the same)
- Army: NO (noun, basic meaning is the same)
- wants: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- reinstitute: YES (verb, more basic meaning refers to restoring or establishing something again)
- the: NO (definite article, basic meaning is the same)
- draft: YES (noun, more basic meaning refers to a current of air)"
The Senate thinks abortion is immoral.,['Senate'],"- The: NO (definite article, basic meaning is the same)
- Senate: NO (noun, basic meaning is the same)
- thinks: NO (verb, basic meaning is the same)
- abortion: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- immoral: NO (adjective, basic meaning is the same)"
I don't approve of the government's actions.,"[""government's""]","- I: NO
- don't: NO
- approve: YES (verb, more basic meaning refers to officially agreeing or accepting something)
- of: NO
- the: NO
- government's: NO
- actions: NO"
The White House isn't saying anything.,['White House'],"- The: NO (definite article, basic meaning is the same)
- White: NO (adjective, basic meaning is the same)
- House: YES (noun, more basic meaning refers to a building where people live)
- isn't: NO (contraction, basic meaning is the same)
- saying: YES (verb, more basic meaning refers to expressing words)
- anything: NO (pronoun, basic meaning is the same)"
Washington is insensitive to the needs of the people.,['Washington'],"- Washington: NO (proper noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- insensitive: YES (adjective, more basic meaning refers to lacking physical sensation)
- to: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- needs: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- people: NO (noun, basic meaning is the same)"
The Kremlin threatened to boycott the next round of SALT talks.,['Kremlin'],"- The: NO (definite article, basic meaning is the same)
- Kremlin: NO (noun, basic meaning is the same)
- threatened: YES (verb, more basic meaning refers to expressing an intention to harm someone)
- to: NO (preposition, basic meaning is the same)
- boycott: YES (verb, more basic meaning refers to withdrawing from commercial or social relations with a country, organization, or person)
- the: NO (definite article, basic meaning is the same)
- next: NO (adjective, basic meaning is the same)
- round: YES (noun, more basic meaning refers to a circular shape or object)
- of: NO (preposition, basic meaning is the same)
- SALT: NO (acronym, basic meaning is the same)
- talks: YES (noun, more basic meaning refers to a conversation or discussion)"
Paris is introducing longer skirts this season.,['Paris'],"- Paris: NO (proper noun, basic meaning is the same)
- is: NO (verb ""to be,"" basic meaning is the same)
- introducing: YES (verb, more basic meaning refers to presenting someone formally)
- longer: YES (adjective, more basic meaning refers to greater length)
- skirts: YES (noun, more basic meaning refers to a garment worn around the waist)"
Hollywood isn't what it used to be.,['Hollywood'],"- Hollywood: NO (noun, basic meaning is the same)
- isn't: NO (verb, basic meaning is the same)
- what: NO (pronoun, basic meaning is the same)
- it: NO (pronoun, basic meaning is the same)
- used: YES (verb, more basic meaning refers to employing something)
- to: NO (preposition, basic meaning is the same)
- be: NO (verb, basic meaning is the same)"
Wall Street is in a panic.,['Wall Street'],"- Wall: NO (noun, basic meaning is the same)
- Street: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- panic: YES (noun, more basic meaning refers to sudden uncontrollable fear)"
Let's not let Thailand become another Vietnam.,['Vietnam'],"- Let's: NO (contraction of ""let us,"" basic meaning is the same)
- not: NO (adverb, basic meaning is the same)
- let: NO (verb, basic meaning is the same)
- Thailand: NO (proper noun, basic meaning is the same)
- become: NO (verb, basic meaning is the same)
- another: NO (determiner, basic meaning is the same)
- Vietnam: NO (proper noun, basic meaning is the same)"
Remember the Alamo.,['the Alamo'],"- Remember: NO (verb, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- Alamo: NO (noun, basic meaning is the same)"
