sentence,metaphorical_subsets,model_output
There's nothing in sight.,['nothing in'],"- There's: NO (contraction of ""there is"", basic meaning is the same)
- nothing: NO (pronoun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- sight: NO (noun, basic meaning is the same)"
I can't get all of the ships in sight at once.,"['all', 'in']","- I: NO (pronoun, basic meaning is the same)
- can't: NO (contraction of cannot, basic meaning is the same)
- get: YES (verb, more basic meaning refers to obtaining or acquiring something)
- all: NO (adjective, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- ships: NO (noun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- sight: YES (noun, more basic meaning refers to the physical sense of seeing)
- at: NO (preposition, basic meaning is the same)
- once: NO (adverb, basic meaning is the same)"
Are you in the race on Sunday?,['in'],"- Are: NO (verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- race: YES (noun, more basic meaning refers to a contest of speed)
- on: NO (preposition, basic meaning is the same)
- Sunday: NO (noun, basic meaning is the same)"
Are you going to the race?,['going to'],"- Are: NO (auxiliary verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- going: YES (verb, more basic meaning refers to physically moving from one place to another)
- to: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- race: YES (noun, more basic meaning refers to a competition of speed)"
Did you see the race?,['see'],"- Did: NO (auxiliary verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- see: NO (verb, basic meaning is to perceive with the eyes)
- the: NO (definite article, basic meaning is the same)
- race: NO (noun, basic meaning is a competition of speed)"
The finish of the race was really exciting.,['finish'],"- The: NO (definite article, basic meaning is the same)
- finish: YES (noun, more basic meaning refers to completing or ending something, often a physical task)
- of: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- race: NO (noun, basic meaning is the same)
- was: NO (verb, basic meaning is the same)
- really: NO (adverb, basic meaning is the same)
- exciting: NO (adjective, basic meaning is the same)"
There was a lot of good running in the race.,['a lot of good running in'],"- There: NO (adverb, basic meaning is the same)
- was: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- lot: YES (noun, more basic meaning refers to a parcel of land)
- of: NO (preposition, basic meaning is the same)
- good: NO (adjective, basic meaning is the same)
- running: NO (noun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- race: NO (noun, basic meaning is the same)"
I couldn't do much sprinting until the end.,['much sprinting'],"""I couldn't do much sprinting until the end.""

- I: NO (pronoun, basic meaning is the same)
- couldn't: NO (modal verb, basic meaning is the same)
- do: NO (verb, basic meaning is the same)
- much: NO (adverb, basic meaning is the same)
- sprinting: NO (noun, basic meaning is the same)
- until: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- end: NO (noun, basic meaning is the same)"
"Halfway into the race, I ran out of energy.",['Halfway into'],"- Halfway: NO (adverb, basic meaning is the same)
- into: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- race: NO (noun, basic meaning is the same)
- I: NO (pronoun, basic meaning is the same)
- ran: NO (verb, basic meaning is to move quickly on foot)
- out: NO (adverb, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- energy: NO (noun, basic meaning is the same)"
He's out of the race now.,['out'],"- He's: NO (contraction of ""he is"", basic meaning is the same)
- out: YES (adverb, more basic meaning refers to moving from inside to outside)
- of: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- race: YES (noun, more basic meaning refers to a contest of speed)
- now: NO (adverb, basic meaning is the same)"
"In washing the window, I splashed water all over the floor.",['In'],"- In: NO (preposition, basic meaning is the same)
- washing: NO (gerund form of the verb wash, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- window: NO (noun, basic meaning is the same)
- I: NO (pronoun, basic meaning is the same)
- splashed: NO (verb, basic meaning is the same)
- water: NO (noun, basic meaning is the same)
- all: NO (adverb, basic meaning is the same)
- over: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- floor: NO (noun, basic meaning is the same)"
How did Jerry get out of washing the windows?,['get out of'],"- How: NO (adverb, basic meaning is the same)
- did: NO (auxiliary verb, basic meaning is the same)
- Jerry: NO (proper noun, basic meaning is the same)
- get: YES (verb, more basic meaning refers to physically obtaining or receiving something)
- out: YES (adverb, more basic meaning refers to moving from inside to outside)
- of: NO (preposition, basic meaning is the same)
- washing: YES (gerund, more basic meaning refers to cleaning with water and soap)
- the: NO (definite article, basic meaning is the same)
- windows: NO (noun, basic meaning is the same)"
"Outside of washing the windows, what else did you do?",['Outside of'],"""Outside of washing the windows, what else did you do?""

- Outside: YES (noun/adjective/preposition, more basic meaning refers to the external part or area of something)
- of: NO (preposition, basic meaning is the same)
- washing: NO (noun, basic meaning refers to the act of cleaning)
- the: NO (definite article, basic meaning is the same)
- windows: NO (noun, basic meaning refers to the openings in a wall or door fitted with glass)
- what: NO (pronoun, basic meaning is the same)
- else: NO (adverb, basic meaning is the same)
- did: NO (verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- do: NO (verb, basic meaning is the same)"
How much window-washing did you do?,['How much'],"- How: NO (adverb, basic meaning is the same)
- much: NO (adjective, basic meaning is the same)
- window-washing: NO (noun, basic meaning is the same)
- did: NO (verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- do: NO (verb, basic meaning is the same)"
How did you get into window-washing as a profession?,['get into'],"- How: NO (adverb, basic meaning is the same)
- did: NO (auxiliary verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- get: YES (verb, more basic meaning refers to physically obtaining or receiving something)
- into: NO (preposition, basic meaning is the same)
- window-washing: NO (noun, basic meaning is the same)
- as: NO (preposition, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- profession: NO (noun, basic meaning is the same)"
He's immersed in washing the windows right now.,['immersed in'],"""He's immersed in washing the windows right now.""

- He's: NO (contraction of ""he is"", basic meaning is the same)
- immersed: YES (verb, more basic meaning refers to being submerged in a liquid)
- in: NO (preposition, basic meaning is the same)
- washing: NO (verb, basic meaning refers to cleaning, which is what is being done to the windows)
- the: NO (definite article, basic meaning is the same)
- windows: NO (noun, basic meaning refers to the openings in a wall or door fitted with glass)
- right: NO (adverb, basic meaning is the same)
- now: NO (adverb, basic meaning is the same)"
I put a lot of energy into washing the windows.,['put a lot of energy into'],"- I: NO (pronoun, basic meaning is the same)
- put: NO (verb, basic meaning is to place or move something)
- a: NO (indefinite article, basic meaning is the same)
- lot: NO (noun, basic meaning refers to a large amount or number)
- of: NO (preposition, basic meaning is the same)
- energy: YES (noun, more basic meaning refers to physical power or force)
- into: NO (preposition, basic meaning is the same)
- washing: NO (verb, basic meaning is the act of cleaning)
- the: NO (definite article, basic meaning is the same)
- windows: NO (noun, basic meaning refers to the openings in a wall or door fitted with glass)"
I get a lot of satisfaction out of washing windows.,['get a lot of satisfaction out of'],"""I get a lot of satisfaction out of washing windows.""

- I: NO (pronoun, basic meaning is the same)
- get: YES (verb, more basic meaning refers to physically obtaining something)
- a: NO (indefinite article, basic meaning is the same)
- lot: YES (noun, more basic meaning refers to a parcel of land)
- of: NO (preposition, basic meaning is the same)
- satisfaction: NO (noun, basic meaning is the same)
- out: NO (preposition, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- washing: NO (verb, basic meaning is the same)
- windows: NO (noun, basic meaning is the same)"
There is a lot of satisfaction in washing windows.,['There is a lot of satisfaction in'],"- There: NO (pronoun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- lot: YES (noun, more basic meaning refers to a parcel of land)
- of: NO (preposition, basic meaning is the same)
- satisfaction: NO (noun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- washing: YES (noun, more basic meaning refers to the act of cleaning with water and soap)
- windows: NO (noun, basic meaning is the same)"
He's in love.,['in'],"""He's in love.""
- He's: NO (contraction of ""he is"", basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- love: YES (noun, more basic meaning refers to an intense feeling of deep affection, typically in a more concrete, personal context)"
We're out of trouble now.,['out of'],"- We're: NO (contraction of ""we are"", basic meaning is the same)
- out: YES (preposition, more basic meaning refers to moving from the inside to the outside)
- of: NO (preposition, basic meaning is the same)
- trouble: NO (noun, basic meaning is the same)
- now: NO (adverb, basic meaning is the same)"
He's coming out of the coma.,['coming out'],"- He's: NO (contraction of ""he is"", basic meaning is the same)
- coming: NO (verb, basic meaning is the same)
- out: NO (preposition, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- coma: NO (noun, basic meaning is the same)"
I'm slowly getting into shape.,['slowly getting into'],"- I'm: NO (contraction of ""I am"", basic meaning is the same)
- slowly: NO (adverb, basic meaning is the same)
- getting: YES (verb, more basic meaning refers to physically obtaining or acquiring something)
- into: NO (preposition, basic meaning is the same)
- shape: YES (noun, more basic meaning refers to the external form or appearance of someone or something)"
He entered a state of euphoria.,['entered'],"- He: NO (pronoun, basic meaning is the same)
- entered: YES (verb, more basic meaning refers to physically going into a space)
- a: NO (indefinite article, basic meaning is the same)
- state: YES (noun, more basic meaning refers to a condition of matter, like solid, liquid, or gas)
- of: NO (preposition, basic meaning is the same)
- euphoria: NO (noun, basic meaning is the same)"
He fell into a depression.,['fell into'],"- He: NO (pronoun, basic meaning is the same)
- fell: YES (verb, more basic meaning refers to physically dropping or coming down)
- into: NO (preposition, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- depression: YES (noun, more basic meaning refers to a physical indentation or hollow area)"
He finally emerged from the catatonic state he had been in since the end of finals week.,"['emerged from', 'in']","- He: NO (pronoun, basic meaning is the same)
- finally: NO (adverb, basic meaning is the same)
- emerged: NO (verb, basic meaning is to come out from a place or situation)
- from: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- catatonic: YES (adjective, more basic meaning refers to a medical condition characterized by stupor)
- state: YES (noun, more basic meaning refers to a condition of being, but here it is used metaphorically to describe a mental condition)
- he: NO (pronoun, basic meaning is the same)
- had: NO (auxiliary verb, basic meaning is the same)
- been: NO (verb, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- since: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- end: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- finals: YES (noun, more basic meaning refers to the last exams in a course, but here it is used to denote a specific time period)
- week: NO (noun, basic meaning is the same)"
His theory explained to me the behavior of chickens raised in factories.,['theory explained'],"- His: NO (possessive pronoun, basic meaning is the same)
- theory: NO (noun, basic meaning is the same)
- explained: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- me: NO (pronoun, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- behavior: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- chickens: NO (noun, basic meaning is the same)
- raised: YES (verb, more basic meaning refers to lifting something up)
- in: NO (preposition, basic meaning is the same)
- factories: NO (noun, basic meaning is the same)"
This fact argues against the standard theories.,['fact argues'],"- This: NO (demonstrative pronoun, basic meaning is the same)
- fact: NO (noun, basic meaning is the same)
- argues: YES (verb, more basic meaning refers to people presenting reasons in speech or writing)
- against: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- standard: NO (adjective, basic meaning is the same)
- theories: NO (noun, basic meaning is the same)"
Life has cheated me.,['Life has cheated'],"- Life: NO (noun, basic meaning is the same)
- has: NO (auxiliary verb, basic meaning is the same)
- cheated: YES (verb, more basic meaning refers to acting dishonestly in a game or test)
- me: NO (pronoun, basic meaning is the same)"
Inflation is eating up our profits.,['Inflation is eating up'],"- Inflation: NO (noun, basic meaning refers to the process of inflating something, but in economics, it's a standard term)
- is: NO (verb, basic meaning as a form of ""to be"" is the same)
- eating: YES (verb, more basic meaning refers to consuming food)
- up: NO (preposition, basic meaning is the same)
- our: NO (possessive pronoun, basic meaning is the same)
- profits: NO (noun, basic meaning refers to financial gain, which is the same in this context)"
His religion tells him that he cannot drink fine French wines.,['religion tells'],"- His: NO (possessive pronoun, basic meaning is the same)
- religion: NO (noun, basic meaning is the same)
- tells: NO (verb, basic meaning is the same)
- him: NO (pronoun, basic meaning is the same)
- that: NO (conjunction, basic meaning is the same)
- he: NO (pronoun, basic meaning is the same)
- cannot: NO (modal verb, basic meaning is the same)
- drink: YES (verb, more basic meaning refers to consuming a liquid)
- fine: YES (adjective, more basic meaning refers to the quality of being thin or delicate)
- French: NO (adjective, basic meaning is the same)
- wines: NO (noun, basic meaning is the same)"
The Michelson-Morley experiment gave birth to a new physical theory.,['Michelson-Morley experiment gave birth to'],"- The: NO (definite article, basic meaning is the same)
- Michelson-Morley: NO (proper noun, specific to the context)
- experiment: NO (noun, basic meaning is the same)
- gave: YES (verb, more basic meaning refers to physically handing something to someone)
- birth: YES (noun, more basic meaning refers to the act of being born)
- to: NO (preposition, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- new: NO (adjective, basic meaning is the same)
- physical: NO (adjective, basic meaning is the same)
- theory: NO (noun, basic meaning is the same)"
Cancer finally caught up with him.,"['Cancer', 'caught up with']","- Cancer: NO (noun, basic meaning is the same)
- finally: NO (adverb, basic meaning is the same)
- caught: YES (verb, more basic meaning refers to physically capturing something)
- up: NO (preposition, basic meaning is the same)
- with: NO (preposition, basic meaning is the same)
- him: NO (pronoun, basic meaning is the same)"
Inflation has attacked the foundation of our economy.,['has attacked'],"- Inflation: YES (noun, more basic meaning refers to the physical act of inflating something, like a balloon)
- has: NO (auxiliary verb, basic meaning is the same)
- attacked: YES (verb, more basic meaning refers to physically assaulting or aggressively approaching)
- the: NO (definite article, basic meaning is the same)
- foundation: YES (noun, more basic meaning refers to the underlying base or support of a physical structure, like a building)
- of: NO (preposition, basic meaning is the same)
- our: NO (possessive pronoun, basic meaning is the same)
- economy: NO (noun, basic meaning refers to the management of resources, which is its use here)"
Inflation has pinned us to the wall.,"['has pinned', 'to the wall']","- Inflation: YES (noun, more basic meaning refers to the physical act of inflating something, like a balloon)
- has: NO (auxiliary verb, basic meaning is the same)
- pinned: YES (verb, more basic meaning refers to physically attaching or securing something with a pin)
- us: NO (pronoun, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- wall: NO (noun, basic meaning is the same)"
Our biggest enemy right now is inflation.,"['enemy', 'is']","- Our: NO (possessive pronoun, basic meaning is the same)
- biggest: NO (superlative form of big, basic meaning is the same)
- enemy: NO (noun, basic meaning is the same)
- right: NO (adverb, basic meaning is the same)
- now: NO (adverb, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- inflation: YES (noun, more basic meaning refers to the physical act of inflating something)"
The dollar has been destroyed by inflation.,['has been destroyed'],"- The: NO (definite article, basic meaning is the same)
- dollar: NO (noun, basic meaning refers to the currency unit, which is the same in this context)
- has: NO (auxiliary verb, basic meaning is the same)
- been: NO (auxiliary verb, basic meaning is the same)
- destroyed: YES (verb, more basic meaning refers to physically breaking something into pieces)
- by: NO (preposition, basic meaning is the same)
- inflation: NO (noun, basic meaning refers to the economic condition of rising prices, which is the same in this context)"
Inflation has robbed me of my savings.,['has robbed'],"- Inflation: NO (noun, basic meaning refers to the economic concept of rising prices)
- has: NO (auxiliary verb, basic meaning is the same)
- robbed: YES (verb, more basic meaning refers to physically stealing)
- me: NO (pronoun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- my: NO (possessive pronoun, basic meaning is the same)
- savings: NO (noun, basic meaning refers to money set aside)"
Inflation has outwitted the best economic minds in the country.,['has outwitted'],"- Inflation: NO (noun, basic meaning refers to the process of inflating or being inflated, which is quite abstract and not more concrete than its economic sense)
- has: NO (auxiliary verb, basic meaning is the same)
- outwitted: YES (verb, more basic meaning refers to defeating someone in a situation requiring cunning or intelligence, typically used in more concrete scenarios like games or personal interactions)
- the: NO (definite article, basic meaning is the same)
- best: NO (adjective, basic meaning is the same)
- economic: NO (adjective, basic meaning is the same)
- minds: YES (noun, more basic meaning refers to the physical brain or the faculty of consciousness and thought, as opposed to abstract intellectual capacities)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- country: NO (noun, basic meaning is the same)"
Inflation has given birth to a money-minded generation.,['has given birth'],"- Inflation: NO (noun, basic meaning refers to the process of inflating or being inflated, which is more concrete but the economic sense is also quite established)
- has: NO (auxiliary verb, basic meaning is the same)
- given: YES (verb, more basic meaning refers to physically handing over something)
- birth: YES (noun, more basic meaning refers to the act of being born)
- to: NO (preposition, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- money-minded: NO (adjective, compound word specifically formed to describe this concept)
- generation: NO (noun, basic meaning refers to all of the people born and living at about the same time, spanning the period of typically about thirty years)"
The ham sandwich is waiting for his check.,['ham sandwich'],"In the sentence ""The ham sandwich is waiting for his check,"" let's analyze each word:

- The: NO (definite article, basic meaning is the same)
- ham: NO (noun, basic meaning refers to a type of meat, which is concrete and specific)
- sandwich: NO (noun, basic meaning refers to a food item made of two pieces of bread with filling between them, which is concrete and specific)
- is: NO (verb, basic meaning as a form of ""to be"" is the same)
- waiting: YES (verb, more basic meaning refers to the act of staying in one place or remaining inactive until something expected happens, typically a physical action)
- for: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- check: YES (noun, more basic meaning refers to a written order directing a bank to pay money, which is more concrete than the usage here implying a bill at a restaurant)

In this context, ""waiting"" and ""check"" have less basic meanings than their more concrete, historically older, or physically oriented definitions."
He likes to read the Marquis de Sade.,['Marquis de Sade'],"- He: NO (pronoun, basic meaning is the same)
- likes: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- read: NO (verb, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- Marquis: NO (noun, basic meaning is the same)
- de: NO (preposition, basic meaning is the same)
- Sade: NO (proper noun, basic meaning is the same)"
He's in dance.,['dance'],"""He's in dance.""

- He's: NO (contraction of ""he is"", basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- dance: YES (noun, more basic meaning refers to the act of moving rhythmically to music)"
Acrylic has taken over the art world.,['Acrylic'],"- Acrylic: NO (noun, basic meaning refers to a type of synthetic material or paint, which is relevant here)
- has: NO (auxiliary verb, basic meaning is the same)
- taken: YES (verb, more basic meaning refers to physically seizing something)
- over: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- art: NO (noun, basic meaning refers to human creative skill, which is relevant here)
- world: NO (noun, basic meaning refers to the earth or the universe, which is metaphorically extended but still close to basic meaning)"
The Times hasn't arrived at the press conference yet.,['Times'],"- The: NO (definite article, basic meaning is the same)
- Times: YES (noun, more basic meaning refers to instances or occurrences, here it refers to a newspaper)
- hasn't: NO (contraction of has not, basic meaning is the same)
- arrived: NO (verb, basic meaning is the same)
- at: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- press: YES (noun, more basic meaning refers to a device for applying pressure, here it refers to journalists or news media)
- conference: NO (noun, basic meaning is the same)
- yet: NO (adverb, basic meaning is the same)"
Mrs. Grundy frowns on blue jeans.,['blue jeans'],"- Mrs.: NO (title, basic meaning is the same)
- Grundy: NO (proper noun, basic meaning is the same)
- frowns: YES (verb, more basic meaning refers to a facial expression indicating displeasure)
- on: NO (preposition, basic meaning is the same)
- blue: NO (adjective, basic meaning is the same)
- jeans: NO (noun, basic meaning is the same)"
New windshield wipers will satisfy him.,['New windshield wipers'],"""New windshield wipers will satisfy him.""

- New: NO (adjective, basic meaning is the same)
- windshield: NO (noun, basic meaning is the same)
- wipers: NO (noun, basic meaning is the same)
- will: NO (auxiliary verb, basic meaning is the same)
- satisfy: YES (verb, more basic meaning refers to fulfilling a need or desire, often physical or more tangible)
- him: NO (pronoun, basic meaning is the same)"
The automobile is clogging our highways.,['automobile'],"- The: NO (definite article, basic meaning is the same)
- automobile: NO (noun, basic meaning refers to a self-propelled vehicle, which is the same in this context)
- is: NO (verb, basic meaning as a form of ""to be"" is the same)
- clogging: YES (verb, more basic meaning refers to blocking something, typically a pipe or drain, in a more physical and tangible manner)
- our: NO (possessive pronoun, basic meaning is the same)
- highways: NO (noun, basic meaning refers to major roads designed for fast travel, which is the same in this context)"
We need a couple of strong bodies for our team.,['strong bodies'],"Here is the analysis for the sentence: ""We need a couple of strong bodies for our team.""

- We: NO (pronoun, basic meaning is the same)
- need: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- couple: NO (noun, basic meaning refers to two items or people, which is the same here)
- of: NO (preposition, basic meaning is the same)
- strong: NO (adjective, basic meaning refers to physical strength, which is applicable here)
- bodies: YES (noun, more basic meaning refers to the physical structure of a person or animal)
- for: NO (preposition, basic meaning is the same)
- our: NO (possessive pronoun, basic meaning is the same)
- team: NO (noun, basic meaning is the same)"
There are a lot of good heads in the university.,['good heads'],"- There: NO (adverb, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- lot: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- good: NO (adjective, basic meaning is the same)
- heads: YES (noun, more basic meaning refers to the part of the body)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- university: NO (noun, basic meaning is the same)"
I've got a new set of wheels.,['set of wheels'],"- I've: NO (contraction of ""I have"", basic meaning is the same)
- got: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- new: NO (adjective, basic meaning is the same)
- set: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- wheels: YES (noun, more basic meaning refers to the circular objects that rotate, typically part of a vehicle)"
We need some new blood in the organization.,['new blood'],"- We: NO (pronoun, basic meaning is the same)
- need: NO (verb, basic meaning is the same)
- some: NO (determiner, basic meaning is the same)
- new: NO (adjective, basic meaning is the same)
- blood: YES (noun, more basic meaning refers to the red fluid that circulates in the bodies of humans and other vertebrates)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- organization: NO (noun, basic meaning is the same)"
She's just a pretty face.,['pretty face'],"- She's: NO (contraction of she is, basic meaning is the same)
- just: NO (adverb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- pretty: NO (adjective, basic meaning is the same)
- face: NO (noun, basic meaning is the same)"
There are an awful lot of faces out there in the audience.,['awful lot of faces'],"- There: NO (pronoun, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- an: NO (indefinite article, basic meaning is the same)
- awful: YES (adjective, more basic meaning refers to something very bad or unpleasant)
- lot: YES (noun, more basic meaning refers to a parcel of land)
- of: NO (preposition, basic meaning is the same)
- faces: NO (noun, basic meaning is the same)
- out: NO (adverb, basic meaning is the same)
- there: NO (pronoun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- audience: NO (noun, basic meaning is the same)"
We need some new faces around here.,['new faces'],"- We: NO (pronoun, basic meaning is the same)
- need: NO (verb, basic meaning is the same)
- some: NO (determiner, basic meaning is the same)
- new: NO (adjective, basic meaning is the same)
- faces: YES (noun, more basic meaning refers to the front part of a person's head)
- around: NO (preposition, basic meaning is the same)
- here: NO (adverb, basic meaning is the same)"
Get your butt over here!,['your butt'],"Sure, let's analyze the sentence ""Get your butt over here!""

- Get: YES (verb, more basic meaning refers to acquiring or obtaining something)
- your: NO (possessive pronoun, basic meaning is the same)
- butt: YES (noun, more basic meaning refers to a part of the body)
- over: NO (preposition, basic meaning is the same)
- here: NO (adverb, basic meaning is the same)"
We don't hire longhairs.,['longhairs'],"- We: NO (pronoun, basic meaning is the same)
- don't: NO (contraction of do not, basic meaning is the same)
- hire: NO (verb, basic meaning is to employ someone, which is the same in this context)
- longhairs: YES (noun, more basic meaning refers to people with long hair, used metaphorically here to denote a group characterized by such a feature)"
The Giants need a stronger arm in right field.,['stronger arm'],"- The: NO (definite article, basic meaning is the same)
- Giants: NO (noun, refers to a sports team here, but the basic meaning of large mythical beings is also not more concrete or bodily)
- need: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- stronger: NO (adjective, basic meaning is the same)
- arm: YES (noun, more basic meaning refers to the limb of a human or animal)
- in: NO (preposition, basic meaning is the same)
- right: NO (adjective, basic meaning is the same)
- field: NO (noun, basic meaning is the same)"
I've got a new four-on-the-floor V-8.,['four-on-the-floor'],"""I've got a new four-on-the-floor V-8.""

- I: NO (pronoun, basic meaning is the same)
- 've: NO (contraction of ""have"", basic meaning is the same)
- got: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- new: NO (adjective, basic meaning is the same)
- four-on-the-floor: YES (phrase, more basic meaning of ""four"" refers to the number, and ""floor"" refers to the level part of a room)
- V-8: NO (noun, refers to a specific type of engine, basic meaning is the same)"
I'll have a Löwenbräu.,['Löwenbräu'],"- I'll: NO (contraction of ""I will"", basic meaning is the same)
- have: YES (verb, more basic meaning refers to possessing or holding something)
- a: NO (indefinite article, basic meaning is the same)
- Löwenbräu: NO (proper noun, specific brand of beer, basic meaning is the same)"
He bought a Ford.,['Ford'],"- He: NO (pronoun, basic meaning is the same)
- bought: NO (verb, basic meaning refers to acquiring something in exchange for payment, which is the same here)
- a: NO (indefinite article, basic meaning is the same)
- Ford: NO (proper noun, referring to a brand, basic meaning is the same)"
He's got a Picasso in his den.,['Picasso'],"""He's got a Picasso in his den.""

- He's: NO (contraction of ""he is"", basic meaning is the same)
- got: NO (verb, basic meaning is to possess or obtain, which is applicable here)
- a: NO (indefinite article, basic meaning is the same)
- Picasso: YES (noun, more basic meaning refers to the artist himself, here it refers to a painting by Picasso)
- in: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- den: YES (noun, more basic meaning refers to a wild animal's shelter, here it refers to a room in a house)"
I hate to read Heidegger.,['Heidegger'],"- I: NO (pronoun, basic meaning is the same)
- hate: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- read: NO (verb, basic meaning is the same)
- Heidegger: NO (proper noun, basic meaning is the same)"
The sax has the flu today.,['sax'],"- The: NO (definite article, basic meaning is the same)
- sax: NO (noun, short for saxophone, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- flu: NO (noun, short for influenza, basic meaning is the same)
- today: NO (noun/adverb, basic meaning is the same)"
The BLT is a lousy tipper.,['BLT'],"- The: NO (definite article, basic meaning is the same)
- BLT: NO (noun, acronym for a sandwich, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- lousy: NO (adjective, basic meaning is the same)
- tipper: YES (noun, more basic meaning refers to a person who gives a tip, not a sandwich)"
The gun he hired wanted fifty grand.,['gun'],"- The: NO (definite article, basic meaning is the same)
- gun: YES (noun, more basic meaning refers to a firearm)
- he: NO (pronoun, basic meaning is the same)
- hired: NO (verb, basic meaning is to employ someone)
- wanted: NO (verb, basic meaning is to desire something)
- fifty: NO (numeral, basic meaning is the same)
- grand: YES (noun, more basic meaning refers to a grand piano or adjective meaning large or impressive)"
We need a better glove at third base.,['glove'],"""We need a better glove at third base.""

- We: NO (pronoun, basic meaning is the same)
- need: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- better: NO (comparative adjective, basic meaning is the same)
- glove: NO (noun, basic meaning is the same)
- at: NO (preposition, basic meaning is the same)
- third: NO (ordinal number, basic meaning is the same)
- base: YES (noun, more basic meaning refers to a physical foundation or bottom part)"
